codigo_ibge_6,municipio,uf,cod_uf,UF extenso,Região,Capital?,col_pop,col_idhm,Nota normalizada de população,Nota normalizada de IDHM,nota_ranking
270030,Arapiraca,AL,27,Alagoas,Nordeste,n,200000,0.649,1.0,0.47972972972972966,1.4797297297297296
150420,Marabá,PA,15,Pará,Norte,n,200000,0.668,1.0,0.4369369369369368,1.4369369369369367
260410,Caruaru,PE,26,Pernambuco,Nordeste,n,200000,0.677,1.0,0.4166666666666665,1.4166666666666665
291840,Juazeiro,BA,29,Bahia,Nordeste,n,200000,0.677,1.0,0.4166666666666665,1.4166666666666665
293330,Vitória Da Conquista,BA,29,Bahia,Nordeste,n,200000,0.678,1.0,0.4144144144144143,1.4144144144144142
280480,Nossa Senhora Do Socorro,SE,28,Sergipe,Nordeste,n,192330,0.664,0.9614896042014992,0.44594594594594583,1.407435550147445
230370,Caucaia,CE,23,Ceará,Nordeste,n,200000,0.682,1.0,0.40540540540540526,1.4054054054054053
315460,Ribeirão Das Neves,MG,31,Minas Gerais,Sudeste,n,200000,0.684,1.0,0.40090090090090075,1.4009009009009008
330045,Belford Roxo,RJ,33,Rio de Janeiro,Sudeste,n,200000,0.684,1.0,0.40090090090090075,1.4009009009009008
260290,Cabo De Santo Agostinho,PE,26,Pernambuco,Nordeste,n,200000,0.686,1.0,0.39639639639639623,1.3963963963963963
230765,Maracanaú,CE,23,Ceará,Nordeste,n,200000,0.686,1.0,0.39639639639639623,1.3963963963963963
520025,Águas Lindas De Goiás,GO,52,Goiás,Centro-Oeste,n,200000,0.686,1.0,0.39639639639639623,1.3963963963963963
150240,Castanhal,PA,15,Pará,Norte,n,192262,0.673,0.9611481821787746,0.42567567567567555,1.3868238578544503
150680,Santarém,PA,15,Pará,Norte,n,200000,0.691,1.0,0.3851351351351352,1.385135135135135
330190,Itaboraí,RJ,33,Rio de Janeiro,Sudeste,n,200000,0.693,1.0,0.38063063063063074,1.3806306306306309
230730,Juazeiro Do Norte,CE,23,Ceará,Nordeste,n,200000,0.694,1.0,0.37837837837837845,1.3783783783783785
290570,Camaçari,BA,29,Bahia,Nordeste,n,200000,0.694,1.0,0.37837837837837845,1.3783783783783785
261110,Petrolina,PE,26,Pernambuco,Nordeste,n,200000,0.697,1.0,0.3716216216216217,1.3716216216216217
521250,Luziânia,GO,52,Goiás,Centro-Oeste,n,200000,0.701,1.0,0.3626126126126127,1.3626126126126126
211220,Timon,MA,21,Maranhão,Nordeste,n,174465,0.649,0.8717910095547957,0.47972972972972966,1.3515207392845254
211120,São José De Ribamar,MA,21,Maranhão,Nordeste,n,200000,0.708,1.0,0.3468468468468469,1.3468468468468469
