"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"UF";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000012020";"160283";"PREFEITURA MILITAR DA ZONA SUL";"9999";"Pregão - Registro de Preço";"64661000684202181";"Objeto: Pregão Eletrônico - Aquisição de material hidráulico para manutenção dos condomínios administrados pela Prefeitura Militar da Zona Sul e atender as unidades participantes do GCALC da 1º RM.";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RJ";"RIO DE JANEIRO";"15/09/2021";"30/08/2021";"178600,0000"
"000012020";"784700";"HOSPITAL NAVAL DE BELEM";"9999";"Pregão - Registro de Preço";"63061004240201905";"Objeto: Pregão Eletrônico - Registrar preços de material de lavagem de tecidos de lavanderia hospitalar do HNBe.";"Publicado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"PA";"BELEM";"01/09/2021";"14/12/2020";"0,00"
"000012021";"927427";"CONSELHO REG. DE ENGENHARIA E AGRONOMIA - MA";"5";"Pregão";"2641508";"Objeto: Pregão Eletrônico - Aquisição de 06 (seis) veículos zero quilômetro 2021/2021 ou superior, com potência de motor igual ou superior a 102 CV, bicombustível (gasolina/álcool) e 01 (uma) caminhonete tipo pick-up; movido a combustível diesel, cabine dupla; modelo/ano 2021.";"Divulgado";"38874";"CONSELHO REG. DE ENGENHARIA E AGRONOMIA-BA";"38874";"CONSELHO REG. DE ENGENHARIA E AGRONOMIA-BA";"-3";"Inválido";"20/09/2021";"21/06/2021";"0,00"
"000012021";"110102";"SUPERINTENDENCIA REG. DE ADMIN. DA 2ª REGIAO";"5";"Pregão";"00592000157202074";"Objeto: Pregão Eletrônico - Contratação de serviços DE LIMPEZA E CONSERVAÇÃO, COM DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA, COM FORNECIMENTO DE MATERIAL, com execução mediante o regime de empreitada por preço global, com disponibilização de mão de obra em regime de dedicação exclusiva, para atender às necessidades das unidades da AGU no Estado do Rio de Janeiro, circunscritas à Superintendência de Administração no Rio de Janeiro.";"Evento de Resultado de Julgame";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vín";"RJ";"RIO DE JANEIRO";"27/09/2021";"20/08/2021";"1243472,2200"
"000012021";"110794";"SECRETARIA EXECUTIVA/OPERACAO ACOLHIDA";"6";"Dispensa de Licitação";"60215009282202150";"Objeto: Serviço de coquetel para 300 convidados com equipe de 04 auxiliares de cozinha, 01 mêtre, 08 garçons, 02 copeiros e a coordenação do evento, incluindo entre os alimentos: salgados assados e fritos, doces, bebidas e todo o material para atender os convidados como louças, talheres, copos e demais utensílios";"Encerrado";"52000";"Ministério da Defesa";"52000";"Ministério da Defesa - Unidades com vínculo";"RR";"BOA VISTA";"08/09/2021";"";"17400,0000"
"000012021";"113602";"INSTITUTO DE PESQUISA ECONOMICA APLICADA";"5";"Pregão";"03001003631202011";"Objeto: Pregão Eletrônico - Escolha da proposta mais vantajosa para a contratação de serviços de fornecimento e instalação de cortinas painel com trilho, com substituição dos trilhos e cortinas existentes, visando à adequação das instalações do IPEA/RJ, localizado nos andares 16º ao 19º do Edifício Banco Central situado à Avenida Presidente Vargas, 730 - Centro  Rio de Janeiro-RJ, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.";"Publicado";"47000";"Ministério do Planejamento e Orçamento";"61201";"Instituto de Pesquisa Econômica Aplicada";"RJ";"RIO DE JANEIRO";"01/09/2021";"19/08/2021";"113978,7000"
"000012021";"114603";"SUPERINTENDENCIA ESTADUAL DO IBGE NO AC";"6";"Dispensa de Licitação";"23118000026202176";"Objeto: Aquisição de Epi (Equipamento de Proteção Individual) Máscaras, Protetores Faciais E Álcool em Gel para atendimento das Necessidades da Unidade Estadual do IBGE/Ac e suas Agências do Interior do Estado do Acre, conforme condições, quantidades e exigências estabelecidas neste instrumento.";"Encerrado";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"AC";"RIO BRANCO";"13/09/2021";"01/09/2021";"5443,8900"
"000012021";"114607";"SUPERINTENDENCIA ESTADUAL DO IBGE NO AMAPA";"6";"Dispensa de Licitação";"20693000019202171";"Objeto: Aquisição de Materiais de proteção individual para combate a COVID-19, para servidores da Unidade Estadual do IBGE no Amapá";"Encerrado";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"AP";"MACAPA";"30/09/2021";"06/09/2021";"1818,0000"
"000012021";"114612";"SUPERINTENDENCIA ESTADUAL DO IBGE NO RN";"7";"Inexigibilidade de Licitação";"23817.108/2021-03";"Objeto: Contratação de Serviço de fornecimento de água, recepção e tratamento do esgoto, para utilização nas Agências do IBGE no Interior do estado do Rio Grande do Norte.";"Publicado";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"RN";"NATAL";"20/09/2021";"";"17633,7600"
"000012021";"114614";"SUPERINTENDENCIA ESTADUAL IBGE PERNAMBUCO";"7";"Inexigibilidade de Licitação";"20874000195202182";"Objeto: Contratação de fornecimento de energia elétrica para atendimento das necessidades básicas de funcionamento de diversas agências do IBGE em Pernambuco, localizadas em Recife, Região metropolitana e cidades do interior do estado.";"Publicado";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"PE";"RECIFE";"08/09/2021";"";"420099,8600"
"000012021";"120060";"ACADEMIA DA FORCA AEREA";"3";"Concorrência";"67510001482202179";"Objeto: O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de empresa especializada em serviços de engenharia para realizar a reforma do alojamento dos cadetes do 4¿ Esquadrão da AFA, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"SP";"PIRASSUNUNGA";"09/09/2021";"";"7141630,4800"
