cod_dtm,s00a1,codigo_d,codigo_1,numero_d,s00a7,npes,s02ac,s02ad,s02af,s02ae_di,s02ae_me,s02ae_an,s02ae,vis1,age,s02a5,s02a6,s02a7,s02a8,s02a9,s02a10,s02a_nor,s02a12,s02a13,s02a14,s02a15,s02a16,s02a17,s02a18,s02a19,s02a20,s02a21,s02b1,s02b2,s02b3,s02b5,s02b6,s02b7,s02b_nor,s02b4_an,s02b4_me,s02b4,s02b8,s02b9,s02b10,s02b11,s02b12,s02b13,s02b14,s02b15,s02c1,s02c3,s02c4,s02c5,s02c6,s02c7,s02c8,s02c9,s02c10,s02c_nor,s02c2a,s02c2b,s03a1,s03a2,s03a3,s03a4,s03a5,s03a6,s03a7,s03a8,s03a9,s03a_nor,s03a10,s03a11,s03a12,s03a13,s03a14,s03a15,s03a16,s03a18,s03a19,s03a20,s03a21,s03a17_h,s03a17_m,s03a17,s03a22,s03a23,s03a24,s03a26,s03a27,s03a29,s03a25a,s03a25b,s03a25c,s03a28a,s03a28b,s03a28c,s03a30a,s03a30b,s03a30c,s03b1,s03b2,s03b3,s03b4,s03b5,s03b6,s03b7,s03b8,s03b_nor,s03a25,s03a28,s03a30,s04a1,s04a2,s04a3,s04a4,s04a5,s04a6,s04a_nor,source,s04d1,s04d2,s04d3,s04d4,s04d5,s04d6,s04d_nor,s04e1,s04e2,s04e3,s04e4,s04e5,s04e6,s04e7,s04e8,s04e_nor,s04f1,s04f2,s04f_nor,s04f3_an,s04f3_di,s04f3_me,s04f4_an,s04f4_di,s04f4_me,s04f5_an,s04f5_di,s04f5_me,s04f6_an,s04f6_di,s04f6_me,s04f10_a,s04f10_d,s04f10_m,s04f7_an,s04f7_di,s04f7_me,s04f8_an,s04f8_di,s04f8_me,s04f9_an,s04f9_di,s04f9_me,s04f11_a,s04f11_d,s04f11_m,s04f12_a,s04f12_d,s04f12_m,s04f13_a,s04f13_d,s04f13_m,s04f14_a,s04f14_d,s04f14_m,s04f15_a,s04f15_d,s04f15_m,s04f16_a,s04f16_d,s04f16_m,s04f3,s04f4,s04f5,s04f6,s04f7,s04f8,s04f9,s04f10,s04f11,s04f12,s04f13,s04f14,s04f15,s04f16,s05a1,s05a2,s05a3,s05a4,s05a5,s05a7,s05a8,s05a_nor,s05a6a,s05a6b,s05a6c,s05a6d,s05a6e,s05a6f,s05a6g,s05a6h,s05a6i,s05a6j,s05a6k,s05a6l,s05a6m,year,s05b1,s05b2,s05b3,s05b4,s05b5,s05b7,s05b8,s05b9,s05b10,s05b_nor,s05b6a,s05b6b,s05b6c,s05b6d,s05b6e,s05b6f,s05b6g,s05b6h,s05b6i,s05b6j,s05b6k,s05b6l,s05b6m,s05b1_2,s05b10_2,s05b2_2,s05b3_2,s05b4_2,s05b5_2,s05b6a_2,s05b6b_2,s05b6c_2,s05b6d_2,s05b6e_2,s05b6f_2,s05b6g_2,s05b6h_2,s05b6i_2,s05b6j_2,s05b6k_2,s05b6l_2,s05b6m_2,s05b7_2,s05b8_2,s05b9_2,s05b1_3,s05b10_3,s05b2_3,s05b3_3,s05b4_3,s05b5_3,s05b6a_3,s05b6b_3,s05b6c_3,s05b6d_3,s05b6e_3,s05b6f_3,s05b6g_3,s05b6h_3,s05b6i_3,s05b6j_3,s05b6k_3,s05b6l_3,s05b6m_3,s05b7_3,s05b8_3,s05b9_3,s05c1,s05c2,s05c3,s05c4,s05c5,s05c6,s05c_nor,s06x1,s06x2,s06x3,s06x4,s06x5,s06x6,s06x7,s06x8,s06x9,s06x10,s06x_nor,s07a1,s07a2,s07a3,s07a4,s07a5,s07a6,s07a_nor,s07b1,s07b2,s07b3,s07b4,s07b_nor,attend_now,attend_ever,attend_lastyear,grade_now,grade_lastyear,dropout,return,grade_prog2,grade_rep2,dropout2,p_attend7,d_miss7,if_miss30,if_miss7,educ1,educ2,educ3,educ4,educ5,educ6,educ7,tot_ed_exp,any_ed_exp,educ,educ_hs,educ_elem
5551,27.0,3839.0,5011.0,3436.0,3553.0,4.0,4.0,1.0,3.0,7.0,5.0,2006.0,2006-05-07,2009-10-16,3.4442162902121836,3.0,,1.0,1.0,2.0,2.0,2.0,,1.0,2.0,2.0,,1.0,1.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,2.0,1.07,1.0,1.0,17.0,17.1,,1.0,2.0,2.0,2.0,1.07,2.0,2.0,,,6.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,2.0,2.0,1.0,,,,,,,,55.0,3.75,1.0,1.0,,7.0,6.0,36.0,2.0,1.0,1.0,2.0,2006.0,7.0,7.0,2006.0,27.0,9.0,2006.0,27.0,11.0,2007.0,28.0,5.0,9999.0,99.0,99.0,2006.0,7.0,7.0,2006.0,13.0,9.0,2007.0,28.0,5.0,2006.0,5.0,6.0,2006.0,5.0,7.0,2006.0,12.0,12.0,2006.0,5.0,6.0,2006.0,21.0,6.0,2007.0,14.0,5.0,2006-07-07,2006-09-27,2006-11-27,2007-05-28,2006-07-07,2006-09-13,2007-05-28,,2006-06-05,2006-07-05,2006-12-12,2006-06-05,2006-06-21,2007-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,4.0,,2.0,,,4.0,,2.0,0.0,0.0,1.0,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
823,13.0,3735.0,5001.0,13240.0,4039.0,1.0,3.0,1.0,37.0,19.0,3.0,1972.0,1972-03-19,2009-11-02,37.62354551676933,,,,,2.0,,,,,,,,,,,,,DONO DE LANCHE,158.0,2.0,1.0,2.0,1.0,2.0, 9, 9,2009-09-01,5.0,1.0,VENDEDOR,138.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
14679,52.0,3983.0,2489.0,3784.0,3900.0,3.0,1.0,2.0,16.0,,,,1993-01-06,2009-10-21,16.788501026694046,3.0,2.0,,1.0,1.0,2.0,,5.0,1.0,2.0,2.0,2.0,3.0,1.0,8.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,5.0,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,80.0,0.0,40.0,10.0,,,,,2.0,2.0,,,,2.0,,0.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,3.0,,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,,4.0,,4.0,,4.0,,,,,4.0,,,0.0,1.0,1.0,,8.0,1.0,,0.0,0.0,1.0,,,,,0.0,0.0,0.0,80.0,0.0,40.0,10.0,,1.0,,,
3377,23.0,3818.0,3695.0,4490.0,3654.0,4.0,3.0,2.0,35.0,11.0,10.0,1974.0,1974-10-11,2009-11-03,35.06365503080082,,,1.0,,2.0,,,,,,,,,,,,,AUX DE ENFERMAGEM,25.0,2.0,93.0,2.0,5.0,6.0, 7, 7,2006-07-01,8.0,3.0,AUX DE ENFERMAGEM,25.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
7612,31.0,3775.0,4044.0,8665.0,3600.0,1.0,1.0,1.0,74.0,10.0,9.0,1935.0,1935-09-10,2009-10-04,74.06707734428474,1.0,2.0,,2.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,10.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,LAVRADOR,,1.0,4.0,48.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,465.0,2.0,,2.0,,2.0,,2.0,,1.0,1.0,12.0,4.0,,2.0,,1.0,,,4.0,,1.0,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2142,15.0,3982.0,2489.0,6077.0,3872.0,2.0,1.0,2.0,32.0,,,,1977-08-12,2009-10-12,32.167008898015055,2.0,2.0,,2.0,,2.0,,5.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,2.0,3.0,,,,,,,,,,,,,,,,,,,2.0,1.73,1.0,1.0,77.0,77.0,999.999,1.0,5.0,,2.0,1.73,1.0,5.0,,,5.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,2.0,,0.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,2006-02-01,17.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,,1.0,,,,4.0,,,,,4.0,,,0.0,1.0,0.0,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
13234,43.0,4017.0,1477.0,8152.0,3884.0,1.0,1.0,1.0,59.0,17.0,1.0,1950.0,1950-01-17,2009-11-05,59.80013689253935,1.0,2.0,,2.0,,2.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,8.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,5.0,,,5.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,465.0,2.0,,2.0,,2.0,,2.0,,2.0,4.0,,4.0,,2.0,,2.0,,,4.0,,2.0,0.0,1.0,0.0,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,1.0
9874,33.0,3752.0,1477.0,11452.0,3943.0,4.0,1.0,1.0,13.0,6.0,12.0,1995.0,1995-12-06,2009-10-16,13.86173853524983,5.0,,,1.0,3.0,2.0,2.0,,1.0,1.0,2.0,,3.0,1.0,7.0,7.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,5.0,6.0,2.0,,,,,2.0,5.0,6.0,1.0,1.0,5.0,1.0,1.0,2.0,6.0,5.0,,0.0,15.0,1960-01-01 00:15:00,8.0,,1.0,2.0,,,6.0,,,,,,,,,1.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,2.0,,,,2.0,2.0,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,2.0,,4.0,,4.0,,2.0,2.0,,2.0,,2.0,1.0,1.0,1.0,6.0,6.0,0.0,,0.0,1.0,0.0,0.8333333333333334,1.0,1.0,,0.0,0.0,0.0,70.0,0.0,0.0,0.0,70.0,1.0,2.0,0.0,1.0
1786,15.0,4017.0,5021.0,7613.0,3253.0,6.0,1.0,2.0,12.0,31.0,12.0,1996.0,1996-12-31,,12.0,5.0,,3.0,1.0,4.0,2.0,4.0,,1.0,1.0,2.0,,2.0,1.0,8.0,8.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,6.0,,2.0,,,,,4.0,6.0,,1.0,2.0,,,9.0,2.0,5.0,5.0,,0.0,10.0,1960-01-01 00:10:00,5.0,,2.0,2.0,,,,,,,,,,,,1.0,0.0,0.0,0.0,35.0,0.0,45.0,0.0,4.0,,,,3.0,2.0,,,,2.0,4.0,1.0,2.0,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,4.0,,4.0,,4.0,,4.0,,,4.0,,4.0,1.0,1.0,1.0,,,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,45.0,0.0,80.0,1.0,2.0,0.0,1.0
7348,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,4.0,,,,,4.0,,,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,
