coluna,dtype,rotulo
cod_dtm,int16,codigo da datametrica para o domicilio
s00a1,float64,uf
codigo_d,float64,codigo do codificador
codigo_1,float64,codigo do digitador
numero_d,float64,número do questionário
s00a7,float64,codigo do entrevistador
npes,float64,nÚmero de ordem da pessoa
s02ac,float64,situaÇÃo
s02ad,float64,sexo
s02af,float64,idade
s02ae_di,float64,data de nascimento: dia
s02ae_me,float64,data de nascimento: mes
s02ae_an,float64,data de nascimento: ano
s02ae,datetime64[s],
vis1,datetime64[s],1st visit to hhold
age,float64,Idade (decimal)
s02a5,float64,qual a relaÇÃo de convivÊncia que (nome)tem com o responsÁve
s02a6,float64,o pai mora no domicÍlio?
s02a7,float64,nÚmero de ordem do pai
s02a8,float64,a mÃe mora no domicÍlio?
s02a9,float64,nÚmero de ordem da mÃe
s02a10,float64,nome É titular de cartÃo do bolsa familia
s02a_nor,float64,numero de ordem do respondente
s02a12,float64,qual É o estado civil/conjugal de
s02a13,float64,tem certidÃo de nasci-mento ou casa-mento?
s02a14,float64,tem documento de identidade (registro geral)?
s02a15,float64,tem cpf?
s02a16,float64,tem tÍtulo de eleitor?
s02a17,float64,qual a cor ou raca de nome?
s02a18,float64,nacionalidade
s02a19,float64,ha quanto tempo mora neste municipio?
s02a20,float64,ha quanto tempo mora neste domicilio?
s02a21,float64,onde viveu a maior parte do tempo atÉ seus 14 anos?
s02b1,str,qual era a ocupaÇÃo de (nome) antes de sair de casa?
s02b2,float64,qual o codigo de ocupacao de nome antes de sair de casa
s02b3,float64,onde mora o pai de nome?
s02b5,float64,por que nome saiu de casa?
s02b6,float64,onde nome mora atualmente?
s02b7,float64,qual o estado civil/conjugal de nome?
s02b_nor,float64,nÚmero de ordem do respondente
s02b4_an,str,em que mes e ano nome saiu de casa?: ano
s02b4_me,str,em que mes e ano nome saiu de casa?: mes
s02b4,datetime64[s],
s02b8,float64,qual o ultimo curso que nome completou tendo sido aprovada?
s02b9,float64,qual a ultima serie que nome completou sendo sido aprovada?
s02b10,str,qual e a atual ocupacao de nome?
s02b11,float64,qual o codigo de ocupacao atual de nome?
s02b12,float64,nos ultimos 12 meses nome enviou presentes ou dinheiro para
s02b13,float64,com que frequencia nome enviou presentes ou dinheiro
s02b14,float64,qual foi o valor total dos presentes e dinheiro que nome env
s02b15,float64,por causa de nome o seu domicilio perdeu ou teve reducao do
s02c1,float64,nome apresenta alguma deficiencia?
s02c3,float64,qual a altura/ comprimento de (nome) (metros e centímetros)?
s02c4,float64,a altura foi medida?
s02c5,float64,como foi feita a medida?
s02c6,float64,qual o peso de [nome] (quilos e gramas)? peso 1
s02c7,float64,qual o peso de nome (quilos e gramas)? peso 2
s02c8,float64,qual o peso do adulto que segurou a crianÇa na balanÇa? (qui
s02c9,float64,foi pesado?
s02c10,float64,numero de ordem da mae de nome
s02c_nor,float64,numero de ordem do respondente
s02c2a,float64,medicao da altura e comprimento
s02c2b,float64,qual a altura/ comprimento de (nome) (metros e centímetros)?
s03a1,float64,(nome) sabe ler e escrever um bilhete simples no idioma que
s03a2,float64,"no ano passado, (nome) frequentava escola ou creche?"
s03a3,float64,qual e o curso que (nome) frequentava no ano passado?
s03a4,float64,qual a serie que (nome) frequentava no ano passado?
s03a5,float64,(nome) frequenta escola ou creche atualmente?
s03a6,float64,por que (nome) nao frequenta?
s03a7,float64,quantos anos (nome) tinha quando deixou de frequentar escola
s03a8,float64,"qual o curso mais elevado que (nome) frequentou, no qual con"
s03a9,float64,qual e a ultima concluida co aprovacao?
s03a_nor,float64,numero de ordem do respondente secao3
s03a10,float64,qual e o curso que (nome) frequenta atualmente?
s03a11,float64,qual e a serie que (nome) frequenta atualmente?
s03a12,float64,qual e o turno que (nome) frequenta atualmente?
