cod_dtm,s00a1,s02af,age,s02ad,s02a17,s02a21,s02a10,s02a5,s03a2,s03a22,s03a24,attend_now,dropout,p_attend7,if_miss30,grade_now,educ,source,educ_chefe,n_moradores,n_familias,n_comodos,n_dormitorios,n_banheiros,agua_canalizada,mae_resp_le,estrato_amostral
31,11.0,41.0,41.100616016427104,1.0,,,,,,,,,,,,,,,,2.0,1.0,6.0,3.0,1.0,1.0,2.0,
31,11.0,36.0,35.879534565366185,2.0,3.0,3.0,1.0,2.0,5.0,,,,,,,,,1.0,,2.0,1.0,6.0,3.0,1.0,1.0,2.0,beneficiario
31,11.0,10.0,10.617385352498289,1.0,3.0,,2.0,3.0,3.0,7.0,2.0,1.0,0.0,1.0,1.0,,2.0,1.0,,2.0,1.0,6.0,3.0,1.0,1.0,2.0,beneficiario
47,11.0,31.0,31.17864476386037,1.0,3.0,3.0,2.0,1.0,5.0,,,,,,,,,1.0,,4.0,1.0,6.0,2.0,1.0,1.0,2.0,beneficiario
47,11.0,32.0,32.303901437371664,2.0,3.0,4.0,2.0,2.0,5.0,,,,,,,,,1.0,,4.0,1.0,6.0,2.0,1.0,1.0,2.0,beneficiario
47,11.0,11.0,11.597535934291582,2.0,3.0,,2.0,3.0,1.0,,,1.0,0.0,1.0,0.0,,2.0,1.0,,4.0,1.0,6.0,2.0,1.0,1.0,2.0,beneficiario
47,11.0,6.0,6.420260095824777,2.0,3.0,,2.0,3.0,1.0,,,1.0,0.0,0.8,1.0,,1.0,1.0,,4.0,1.0,6.0,2.0,1.0,1.0,2.0,beneficiario
86,11.0,20.0,20.829568788501025,1.0,3.0,3.0,2.0,3.0,3.0,,,0.0,1.0,,,,3.0,1.0,,3.0,1.0,5.0,2.0,1.0,1.0,2.0,beneficiario
86,11.0,19.0,18.93223819301848,1.0,,,,,,,,,,,,,,,,3.0,1.0,5.0,2.0,1.0,1.0,2.0,
130,11.0,34.0,33.58795345653662,1.0,3.0,4.0,2.0,1.0,5.0,,,0.0,,,,,2.0,1.0,2.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,beneficiario
130,11.0,27.0,27.200547570157426,2.0,3.0,4.0,2.0,2.0,5.0,,,0.0,,,,,2.0,1.0,2.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,beneficiario
130,11.0,8.0,8.591375770020534,1.0,3.0,,2.0,3.0,2.0,7.0,2.0,1.0,0.0,1.0,0.0,,2.0,1.0,2.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,beneficiario
130,11.0,1.0,1.645448323066393,2.0,3.0,,2.0,3.0,5.0,,,0.0,,,,,,1.0,2.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,beneficiario
138,11.0,42.0,42.214921286789874,2.0,1.0,4.0,2.0,1.0,1.0,,,0.0,1.0,,,,,1.0,,2.0,1.0,5.0,2.0,1.0,1.0,1.0,beneficiario
138,11.0,22.0,22.50239561943874,1.0,,,,,,,,,,,,,,1.0,,2.0,1.0,5.0,2.0,1.0,1.0,1.0,beneficiario
138,11.0,20.0,20.763860369609855,2.0,1.0,3.0,,3.0,5.0,,,0.0,,,,,3.0,1.0,,2.0,1.0,5.0,2.0,1.0,1.0,1.0,beneficiario
184,11.0,41.0,40.92539356605065,1.0,,,,,,,,,,,,,,,2.0,4.0,1.0,6.0,3.0,1.0,1.0,2.0,
184,11.0,32.0,32.186173853524984,2.0,1.0,4.0,1.0,1.0,5.0,,,0.0,,,,,2.0,1.0,2.0,4.0,1.0,6.0,3.0,1.0,1.0,2.0,beneficiario
184,11.0,11.0,10.937713894592745,2.0,3.0,,2.0,3.0,3.0,6.0,2.0,1.0,0.0,,0.0,,2.0,1.0,2.0,4.0,1.0,6.0,3.0,1.0,1.0,2.0,beneficiario
184,11.0,8.0,8.375085557837098,1.0,1.0,,2.0,3.0,3.0,6.0,2.0,1.0,0.0,,1.0,,2.0,1.0,2.0,4.0,1.0,6.0,3.0,1.0,1.0,2.0,beneficiario
334,13.0,54.0,13.834360027378509,2.0,3.0,,1.0,1.0,5.0,,,0.0,,,,,2.0,1.0,2.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,beneficiario
334,13.0,17.0,17.467488021902806,1.0,3.0,,,3.0,3.0,6.0,2.0,1.0,0.0,1.0,0.0,8.0,2.0,1.0,2.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,beneficiario
379,13.0,58.0,58.1492128678987,1.0,3.0,3.0,1.0,1.0,5.0,,,0.0,,,,,,1.0,,4.0,1.0,6.0,2.0,1.0,1.0,2.0,beneficiario
379,13.0,51.0,51.15674195756332,2.0,,,,,,,,,,,,,,,,4.0,1.0,6.0,2.0,1.0,1.0,2.0,
379,13.0,20.0,23.143052703627653,1.0,3.0,,2.0,3.0,3.0,,,0.0,1.0,,,,2.0,1.0,,4.0,1.0,6.0,2.0,1.0,1.0,2.0,beneficiario
