cod_dtm,tr1,pscore_tr1,tr2r2,pscore_tr2r2,weight,region
31,1.0,0.42611057,1.0,0.482185,882.7114,1.0
47,,0.567043,,0.6054854,1235.3888,1.0
86,0.0,0.64841896,0.0,0.60767096,1190.9109,1.0
130,,0.43869138,0.0,0.5769751,312.67328,1.0
138,,0.117668234,0.0,0.27465203,583.7276,1.0
184,,0.31760582,,0.41691118,760.05066,1.0
334,,0.6157304,0.0,0.7621867,1330.3951,1.0
379,1.0,0.42180377,1.0,0.27148542,627.74255,1.0
397,,0.21978335,,0.32409447,8688.484,1.0
781,,0.25654137,1.0,0.36748695,471.0727,1.0
505,,0.80959505,,0.8023124,666.1438,2.0
820,,0.17664531,1.0,0.22314395,796.54517,1.0
588,,0.41246933,,0.15621406,4226.7793,1.0
618,,0.099020936,0.0,0.3202787,1645.8584,1.0
830,,0.18600485,,0.45364138,1267.2968,1.0
658,0.0,0.054557547,0.0,0.41097206,1106.096,1.0
667,,0.5687188,1.0,0.730008,178.95097,1.0
674,,0.20078714,,0.28178415,9124.156,1.0
688,,0.39134976,,0.60750985,753.932,1.0
693,0.0,0.5500011,0.0,0.72193426,629.04144,1.0
727,,0.62395614,1.0,0.71976364,272.80533,1.0
739,,0.71783906,,0.85733837,412.96817,1.0
842,,0.09734188,,0.37666854,434.5962,1.0
1499,,,1.0,,293.9335,1.0
857,,0.2038986,,0.4592536,276.01175,1.0
882,,0.17248414,,0.5428357,703.6598,1.0
905,0.0,0.03846011,0.0,0.044445667,1710.1243,1.0
934,,0.43524823,1.0,0.4861609,381.72455,1.0
950,,0.8306357,,0.91649276,239.3762,1.0
952,,0.9072928,,0.81367093,636.8563,1.0
982,,0.19637282,1.0,0.15594444,129.04105,1.0
1008,,0.50025225,,0.4875204,56.22738,1.0
1009,,0.19660161,1.0,0.15634505,120.01342,1.0
1070,0.0,0.060127333,0.0,0.1489728,254.99886,1.0
1503,,0.67386836,,0.5926808,467.0116,1.0
1092,,0.52626115,1.0,0.41726872,297.9831,1.0
1097,,0.38000822,,0.30236492,83.83172,1.0
1127,,0.38133594,,0.2730055,320.75256,1.0
1166,,0.67113006,,0.585951,148.89311,1.0
1304,,0.18780755,,0.22925419,810.50305,1.0
1319,,0.40235353,,0.09185514,241.80234,1.0
1326,,0.22822993,,0.27347246,448.65674,1.0
1327,,0.250465,,0.21947844,520.838,1.0
1357,1.0,0.13676044,1.0,0.18166493,1325.765,1.0
1448,,0.40081826,,0.5150343,431.8247,1.0
1462,,0.5257108,,0.6433408,946.0278,1.0
1525,,0.25793537,1.0,0.7679796,217.29031,1.0
1592,,0.16417491,,0.16211036,5729.9907,1.0
1601,1.0,0.6611592,1.0,0.8925451,86.73771,1.0
1629,,0.63824844,,0.814405,547.4271,1.0
1639,,0.40251088,,0.7128053,190.02693,1.0
1645,0.0,0.25007582,0.0,0.68651485,455.53537,1.0
1706,1.0,0.5323096,1.0,0.8140009,1605.6763,1.0
1774,,0.3429134,,0.43435925,89.2288,1.0
1786,1.0,0.53095925,1.0,0.801819,713.34607,1.0
1803,,0.63841635,1.0,0.82713443,868.78656,1.0
1827,1.0,0.64835876,1.0,0.8172754,984.4697,1.0
1889,,0.7368679,1.0,0.92018515,581.50433,1.0
1890,,0.7821306,,0.9176552,585.95374,1.0
1904,,0.5462492,,0.67281634,1421.262,1.0
1928,,0.111067966,,0.33507335,918.86176,1.0
1974,,0.22438504,,0.3596859,683.52203,1.0
1982,,0.49266124,,0.5556624,737.6894,1.0
2007,,0.5554521,0.0,0.28045842,169.21855,1.0
2021,,0.5484357,,0.26932257,88.05283,1.0
2028,,0.6911122,,0.39624473,348.12024,1.0
2050,,0.73507667,,0.5661104,88.26529,5.0
2136,0.0,0.77205545,0.0,0.41288412,870.0136,1.0
2142,,0.6166122,0.0,0.23791185,9587.453,1.0
2219,,0.11442353,,0.27130345,312.8062,1.0
2258,,0.08270024,,0.37700924,514.80725,1.0
