cnpj,razao_social
10.433.218/0001-93,Gamma Distribuidora ME
13.389.083/0001-02,Vanguard Suprimentos ME
94.026.542/0001-87,Apex Transportes Ltda.
15.594.078/0001-59,Delta Gestão e Serviços Ltda.
95.931.034/0001-06,Gamma Comércio Ltda.
75.255.341/0001-07,Visão Logística e Serviços EPP
27.648.350/0001-15,Nexus Sistemas Eireli
13.953.767/0001-87,Omega Empreendimentos S.A.
88.496.965/0001-68,Nexus Tecnologia EPP
01.226.916/0001-27,Inova Comunicação e Serviços ME
80.184.514/0001-83,Global Logística ME
48.281.489/0001-43,Apex Tecnologia e Serviços Eireli
88.095.701/0001-00,Líder Saneamento Eireli
39.117.182/0001-10,Omega Alimentos EPP
89.638.346/0001-23,Pinnacle Saneamento e Serviços ME
71.331.509/0001-65,Brasil Comércio EPP
10.310.518/0001-85,Nexus Empreendimentos ME
29.973.763/0001-09,Delta Consultoria ME
67.010.651/0001-33,Nexus Serviços e Serviços S.A.
26.247.317/0001-10,Integra Suprimentos Ltda.
80.132.677/0001-12,Apex Gestão Ltda.
06.474.687/0001-83,Omega Serviços Eireli
09.805.009/0001-44,Sul Segurança EPP
81.219.136/0001-99,Delta Distribuidora e Serviços S.A.
09.169.985/0001-58,Líder Empreendimentos e Serviços S.A.
53.462.475/0001-66,Líder Construções Ltda.
91.183.842/0001-81,Líder Saneamento e Serviços Ltda.
54.278.498/0001-88,Alpha Suprimentos e Serviços Eireli
12.411.824/0001-33,Horizonte Comunicação e Serviços S.A.
34.874.016/0001-45,Multi Empreendimentos Ltda.
24.278.680/0001-78,Delta Construções e Serviços S.A.
59.826.204/0001-29,Conecta Sistemas Eireli
31.586.923/0001-09,Pro Logística e Serviços S.A.
02.563.421/0001-56,Inova Sistemas ME
75.433.036/0001-68,Atrium Empreendimentos e Serviços Ltda.
45.868.501/0001-22,Max Empreendimentos e Serviços S.A.
40.196.556/0001-10,Visão Segurança Ltda.
93.406.088/0001-27,Pinnacle Serviços Eireli
59.514.846/0001-92,Atrium Gestão e Serviços Eireli
36.629.946/0001-69,Brasil Engenharia Eireli
69.957.773/0001-67,Norte Alimentos e Serviços S.A.
48.951.343/0001-68,Integra Serviços S.A.
37.917.693/0001-91,Vanguard Gestão ME
20.163.287/0001-88,Beta Suprimentos e Serviços S.A.
17.278.895/0001-23,Forte Infraestrutura e Serviços EPP
86.872.774/0001-28,Forte Comércio e Serviços Eireli
87.347.143/0001-52,Vortex Transportes e Serviços Eireli
12.236.231/0001-88,Global Auditoria e Serviços Eireli
60.366.909/0001-90,Inova Alimentos e Serviços Ltda.
46.688.937/0001-00,Nexus Empreendimentos ME
