ID_COMPRA;NUMERO_UASG;NUMERO_COMPRA;ANO_COMPRA;OBJETO;CHAVE_COMPRA_PNCP;ID_ITEM;numero_item;descricao;descricao_detalhada;unidade_fornecimento;valor_estimado;quantidade_solicitada;orcamento_sigiloso;codigo_item_catalogo;tipo_item_catalogo
696890;170209;68;2026;Fornecimento de materiais de cuidado dos cães de faro da RFB, como ração, vacinas, vermífugos, carrapaticidas, suplementos, medicamentos, vitaminas e materiais de higiene, conforme necessidade ALF/AEG;0039446000014110005372026;7773562;1;Vacina;"aplicação*: uso veterinário, forma farmacêutica: suspensão injetável, outros componentes: b. bronchiseptica, tipo: inativada ";Doses;132.50;3;N;439562;M
693455;927996;53;2026;"Aquisição de MEDICAMENTOS/SUPLEMENTOS CONTROLADOS PELA PORTARIA 344/98 destinados as unidades de saúde pertencentes a Rede Hospitalar, no âmbito da Secretária de Estado de Saúde do Acre - SESACRE. ";1695842500014810003442026;7717753;40;Fenobarbital Sódico;"dosagem: 100 CONFORME DESCRITO DO TERMO DE REFERÊNCIA: ";Comprimido;0.07;509600;S;267660;M
693280;155124;34;2026;Aquisição de Medicamentos Anti-inflamatórios, analgésicos e antitérmicos por meio de Registro de Preços, a fim de atender às necessidades do Hospital Universitário Maria Aparecida Pedrossian - HUMAP/UFMS, Unidade Gestora (UG) 155124, integrante da Rede Ebserh, pelo período de 12 (doze) meses.;1512643700030510029692026;7713479;11;Tramadol Cloridrato;"dosagem: 50 ";Cápsula;0.15;1750;S;268534;M
693657;927502;356;2026;"Aquisição dos medicamentos VACINA PARA IMUNOTERAPIA SUBLINGUAL PARA ÁCARO ALTA CONCENTRAÇÃO NA DILUIÇÃO (1:4) - 6 ML, INSULINA DEGLUDECA 100 UI/ML + LIRAGLUTIDA 3,6 MG/ML, EMPAGLIFLOZINA 25 MG + LINAGLIPTINA 5 MG, METFORMINA 1000 MG, DENOSUMABE 60 MG/ML, EPINEFRINA INTRAMUSCULAR 0,3 MG, ATORVASTATINA 20 MG, EMPAGLIFLOZINA 25 MG, ALOGLIPTINA 25 MG + PIOGLITAZONA 15 MG, ANLODIPINO 5 MG + BENEZEPRIL 10 MG, BISOPROLOL 2,5 MG, ROSUVASTATINA 20 MG, RISPERIDONA 1 MG/ML e SERTRALINA 50 MG, ";0073306200010210003352026;7719485;1;Vacina;"composição 1: extrato alérgeno de ácaros, forma farmacêutica 1: injetável, tipo 1: padronizado ";Frasco;281.22;10;N;483360;M
693455;927996;53;2026;"Aquisição de MEDICAMENTOS/SUPLEMENTOS CONTROLADOS PELA PORTARIA 344/98 destinados as unidades de saúde pertencentes a Rede Hospitalar, no âmbito da Secretária de Estado de Saúde do Acre - SESACRE. ";1695842500014810003442026;7717776;63;Levomepromazina;"dosagem: 25 CONFORME DESCRITO DO TERMO DE REFERÊNCIA: ";Comprimido;0.59;609700;S;268128;M
694809;160103;56;2026;Aquisição de materiais destinados ao Canil do 50º Batalhão de Infantaria de Selva, visando atender às necessidades de alimentação, manejo, adestramento, proteção, higiene e assistência veterinária dos cães empregados nas atividades operacionais da Organização Militar, conforme especificações constantes do Termo de Referência.;0039445200010310157502026;7736255;4;Vacina;"tipo: óctupla, composição: adenovírus (2), cinomose, coronavirose, parvovírus, outros componentes: parainfluenza, componentes adicionais: l. canicola, l. icterohaemorrhagiae, forma farmacêutica: suspensão injetável, aplicação*: uso veterinário ";Doses;65.00;15;N;439508;M
693280;155124;34;2026;Aquisição de Medicamentos Anti-inflamatórios, analgésicos e antitérmicos por meio de Registro de Preços, a fim de atender às necessidades do Hospital Universitário Maria Aparecida Pedrossian - HUMAP/UFMS, Unidade Gestora (UG) 155124, integrante da Rede Ebserh, pelo período de 12 (doze) meses.;1512643700030510029692026;7713486;18;Dipirona Sódica;"dosagem: 500 ";Comprimido;0.13;24800;S;267203;M
694571;986411;30;2026;ELABORAÇÃO DE ATA DE REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS DESTINADOS AO ATENDIMENTO DA ATENÇÃO BÁSICA, UNIDADE DE PRONTO ATENDIMENTO (UPA) E SERVIÇO DE ATENDIMENTO MÓVEL DE URGÊNCIA (SAMU), DESTA MUNICIPALIDADE, COM ENTREGAS PARCELADAS CONFORME REQUISIÇÃO, COM PREVISÃO DE CONSUMO NO DECORRER DE 12 (DOZE) MESES;4784283600010510001432026;7731399;85;Clorpromazina;"dosagem: 100 ";Comprimido;0.29;100000;N;267638;M
693455;927996;53;2026;"Aquisição de MEDICAMENTOS/SUPLEMENTOS CONTROLADOS PELA PORTARIA 344/98 destinados as unidades de saúde pertencentes a Rede Hospitalar, no âmbito da Secretária de Estado de Saúde do Acre - SESACRE. ";1695842500014810003442026;7717739;26;Diazepam;"dosagem: 10 CONFORME DESCRITO DO TERMO DE REFERÊNCIA: ";Comprimido;0.05;1028300;S;267197;M
694013;160366;90002;2026;Pregão eletrônico para registro de preços visando eventual aquisição de material farmacológico, médico e hospitalar.;0039445200010310155522026;7724714;47;Diazepam;Diazepam Dosagem: 5MG;Comprimido;0.41;4000;N;267195;M
694571;986411;30;2026;ELABORAÇÃO DE ATA DE REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS DESTINADOS AO ATENDIMENTO DA ATENÇÃO BÁSICA, UNIDADE DE PRONTO ATENDIMENTO (UPA) E SERVIÇO DE ATENDIMENTO MÓVEL DE URGÊNCIA (SAMU), DESTA MUNICIPALIDADE, COM ENTREGAS PARCELADAS CONFORME REQUISIÇÃO, COM PREVISÃO DE CONSUMO NO DECORRER DE 12 (DOZE) MESES;4784283600010510001432026;7731409;95;Diazepam;"dosagem: 5, apresentação: solução injetável ";Ampola;0.73;3000;N;267194;M
694607;102118;173;2026;Aquisição de MEDICAMENTOS E MATERIAIS DIVERSOS DE USO VETERINÁRIO;6302553000010410028792026;7732489;17;Dipirona Sódica;"Dipirona Sódica, Concentração:500 MG/ML, Forma Física:Solução Injetável, Uso:Uso Veterinário Princípio ativo: Dipirona sódica; Concentração: 50 g;";Frasco;16.76;53;N;409123;M
