item_id,pergunta_id,tema,pergunta,codigo_pronunciamento,autor,data,partido,uf,resumo_oficial,trecho_texto_integral,url_texto_integral,julgamento_relevancia,observacoes
Q01-451123,Q01,Previdência e pessoa com deficiência,Qual pronunciamento tratou do impacto da reforma da previdência sobre o Estatuto da Pessoa com Deficiência e a avaliação da deficiência?,451123,Paulo Paim,2019-02-18,PT,RS,Comentário sobre a relação da reforma trabalhista com a Previdência Social.,"…RERP COORDENAÇÃO DE REDAÇÃO E MONTAGEM - COREM 18/02/2019 O SR. PAULO PAIM (Bloco Parlamentar da Resistência Democrática/PT - RS. Sem apanhamento taquigráfico.) - Senhor Presidente, Senhoras e Senhores Senadores, quero tratar hoje sobre a relação da reforma trabalhista com a Previdência Social e a reforma do sistema previdenciário. A reforma trabalhista, que culminou na Lei 13.467, de 2017, trouxe prejuízos à vida dos trabalhadores. Entre as modificações estão a prevalência do negociado sobre o legislado, que, entre outros pontos pode admitir a prática de jornadas de até 12 horas de trabalho sem a contagem de horas extras, alteração nos prazos de licenças maternidade e paternidade, alterações nos planos de carreira; As férias poderão ser fracionadas; na maioria dos casos, não serão pagas. Há a possibilidade de adoção da remuneração por produção na qual o piso salarial da categoria ou o salário mínimo deixam de ser referência. O tempo mínimo de repouso para o trabalhador que exerça a jornada padrão de oito horas diárias fica sujeito à redução, podendo chegar a até 30 minutos para almoço e descanso; A rescisão contratual passa a ser efetivada sem a necessidade de presença de represen…",https://www25.senado.leg.br/web/atividade/pronunciamentos/-/p/texto/451123,,
Q01-451159,Q01,Previdência e pessoa com deficiência,Qual pronunciamento tratou do impacto da reforma da previdência sobre o Estatuto da Pessoa com Deficiência e a avaliação da deficiência?,451159,Paulo Paim,2019-02-27,PT,RS,Cobrança ao Governo Federal para a regulamentação do Estatuto da Pessoa com Deficiência.,"O SR. PAULO PAIM (Bloco Parlamentar da Resistência Democrática/PT - RS. Para discursar.) – Senador Anastasia, que preside esta sessão, eu quero falar hoje sobre as pessoas com deficiência, devido a uma preocupação que estou tendo e aqui vou explicitar. A reforma da previdência está mexendo com o conjunto da população brasileira – eu diria –, dos mais jovens aos mais idosos, deficientes ou não. Por isso, Sr. Presidente, eu quero aqui destacar a Lei nº 3.146, de 2015, o Estatuto da Pessoa com Deficiência, de minha autoria – mas só aprovei com o apoio de todos os senhores. Ele foi aprovado por unanimidade, sendo que o Romário foi Relator, o Flávio Arns foi Relator, Mara Gabrilli foi Relatora. Diz-se, lá no Estatuto, que a avaliação da deficiência seria feita por equipe multiprofissional e interdisciplinar e que os instrumentos para essa avaliação deverão ser criados pelo Poder Executivo, por meio de regulamentação. Eu estou me antecipando só. O prazo para essa regulamentação, prevista pelo Estatuto, se esgotou já em 2018. Ou seja, no Governo anterior. Mas agora, Sr. Presidente, algo torna ainda essa regulamentação mais urgente. Esse é o apelo que eu faço ao Presidente da República, po…",https://www25.senado.leg.br/web/atividade/pronunciamentos/-/p/texto/451159,,
Q01-451285,Q01,Previdência e pessoa com deficiência,Qual pronunciamento tratou do impacto da reforma da previdência sobre o Estatuto da Pessoa com Deficiência e a avaliação da deficiência?,451285,Paulo Paim,2019-02-27,PT,RS,"Registro do impacto da reforma da previdência social na Lei nº 13.146, de 2015, que dispõe sobre o Estatuto da Pessoa com Deficiência, no que diz respeito à avaliação da deficiência.","…ETARIA DE REGISTRO E REDAÇÃO PARLAMENTAR - SERERP COORDENAÇÃO DE REDAÇÃO E MONTAGEM - COREM 27/02/2019 O SR. PAULO PAIM (Bloco Parlamentar da Resistência Democrática/PT - RS. Sem apanhamento taquigráfico.) - Sr. Presidente, Sras. e Srs. Senadores, a reforma da Previdência está mexendo com a vida de todos, e, neste cenário a vida das pessoas com deficiência também será impactada. A Lei 13.146 de 2015, do Estatuto da Pessoa com Deficiência, diz que a avaliação da deficiência será feita por equipe multiprofissional e interdisciplinar e que os instrumentos para essa avaliação deverão ser criados pelo poder executivo por meio de regulamentação. O prazo para esta regulamentação, estabelecido pelo Estatuto, se esgotou em janeiro de 2018. E agora, Senhoras e Senhores, algo torna essa regulamentação ainda mais urgente. A PEC 06/2019, da reforma da Previdência, ao falar na aposentadoria especial da pessoa com deficiência e no BPC remete-se à avaliação da deficiência, que deverá ser feita por equipe multiprofissional e interdisciplinar. Há, porém, Sr. Presidente, se dizer que essa avaliação depende de instrumentos que ainda não foram criados. Portanto, é preciso que o artigo 2º do Estatuto da…",https://www25.senado.leg.br/web/atividade/pronunciamentos/-/p/texto/451285,,
Q01-451757,Q01,Previdência e pessoa com deficiência,Qual pronunciamento tratou do impacto da reforma da previdência sobre o Estatuto da Pessoa com Deficiência e a avaliação da deficiência?,451757,Paulo Paim,2019-03-19,PT,RS,Relato da participação de S. Exª em audiências públicas na CDH e na CAE destinadas a debater a reforma da previdência.,"…guir um emprego, aqueles que diariamente, bravamente precisam vencer os mais diversos obstáculos, além das limitações físicas, as mentais, sensoriais, intelectuais. Eu estou falando, Sr. Presidente, de homens, mulheres, jovens, crianças e idosos com deficiência. Um universo de mais de 20 milhões de brasileiros. Essas pessoas não esperam por esmolas. A aposentadoria é um direito, constitucional. Não podemos aceitar que a reforma da Previdência venha ceifar esse direito sagrado. No ano de 2013, foi publicada a Lei Complementar 142, que estabelece tempos diferenciados para que as pessoas com deficiência possam se aposentar. A lógica dessa lei é que, devido às limitações, os trabalhadores com deficiência desgastam mais precocemente os seus organismos. E, por isso, eles têm uma perspectiva de vida menor que as demais. Segundo essa lei, as pessoas com deficiência se aposentam: - Vinte anos para mulher e 25 para homem, no caso de deficiência grave; - No caso de deficiência moderada, 24 anos de contribuição para mulher e 27 anos para homem; - Para deficiência leve: 28 para mulher e 33 para homem. Se a aposentadoria se der por idade, ela acontecerá aos 55 anos, no caso da mulher e 60 anos p…",https://www25.senado.leg.br/web/atividade/pronunciamentos/-/p/texto/451757,,
Q01-457463,Q01,Previdência e pessoa com deficiência,Qual pronunciamento tratou do impacto da reforma da previdência sobre o Estatuto da Pessoa com Deficiência e a avaliação da deficiência?,457463,Fernando Bezerra Coelho,2019-09-10,MDB,PE,"Sessão de debate temático destinada à discussão das Propostas de Emenda à Constituição nº 6, de 2019, e nº 133, de 2019, cujo objeto é a reforma da previdência.","O SR. FERNANDO BEZERRA COELHO (Bloco Parlamentar Unidos pelo Brasil/MDB - PE. Para interpelar convidado.) – Sr. Presidente, Sras. Senadoras, Srs. Senadores, Srs. convidados e demais presentes nesta sessão de debates temáticos sobre a reforma da previdência, a nova previdência proposta pelo Governo se enquadra na indispensável busca por um ritmo sustentável de crescimento das despesas com previdência em meio a um contexto de rápido e intenso envelhecimento populacional, constituindo-se assim elemento fundamental para o equilíbrio das contas públicas. A geração de emprego, Sr. Presidente, deve ser a agenda prioritária do Brasil, e não há outro meio possível senão o equilíbrio das contas públicas. De modo geral, portanto, propõe-se a construção de um sistema de seguridade social sustentável e mais justo, onde quem ganha menos paga menos, quem ganha mais paga mais, garantindo direitos adquiridos e a sustentabilidade do sistema previdenciário. Esta Casa foi diligente na tramitação da PEC, e aqui quero registrar o empenho do Presidente Davi Alcolumbre, da Senadora Simone Tebet e do Relator, o Senador Tasso Jereissati, que juntos conduziram da melhor forma o processo. É importante destaca…",https://www25.senado.leg.br/web/atividade/pronunciamentos/-/p/texto/457463,,
Q01-464061,Q01,Previdência e pessoa com deficiência,Qual pronunciamento tratou do impacto da reforma da previdência sobre o Estatuto da Pessoa com Deficiência e a avaliação da deficiência?,464061,Paulo Paim,2020-02-13,PT,RS,"Cumprimentos à Comissão de Assuntos Econômicos pela aprovação do Projeto de Lei Complementar nº 212/2019, de autoria de S. Exa., que veda o contingenciamento de recursos da seguridade social.","…ar do desempregado, até 2024, algo em torno de R$13 bilhões. É um dinheiro que estaria no mercado, porque desempregado vai comprar o quê? Alimento, uma camiseta, um tênis, pagar o ônibus. Enfim, são as preocupações. Por isso, para fortalecer a nossa previdência, eu cumprimento todos os Senadores, porque esse projeto foi aprovado por unanimidade. Ainda, Sr. Presidente, faço outro registro. Eu tenho uma audiência às 14h30, na CDH. Às 14h30, tenho de estar lá para discutir a MP e as categorias em extinção, inclusive a sua, Senador Kajuru, de jornalista, radialista... (Intervenção fora do microfone.) O SR. PAULO PAIM (Bloco Parlamentar da Resistência Democrática/PT - RS) – Você também? O Plínio também? Eu achei que estava sendo solidário a ele. O Senador Plínio também. E o pessoal do seguro – só no seguro, vai haver uma demissão de 450 mil pessoas. Falaram ontem. Eles vão estar hoje à tarde lá. Então, por isso, eu fiz esse registro. Quero aqui também falar – e vai ser rápido – da lei da política de cotas para pessoas com deficiência. Existe uma lei que garante, via Lei Brasileira de Inclusão, Lei 13.146, de 2015, Estatuto da Pessoa com Deficiência, que casualmente é de minha autoria. O…",https://www25.senado.leg.br/web/atividade/pronunciamentos/-/p/texto/464061,,
Q01-478535,Q01,Previdência e pessoa com deficiência,Qual pronunciamento tratou do impacto da reforma da previdência sobre o Estatuto da Pessoa com Deficiência e a avaliação da deficiência?,478535,Mara Gabrilli,2021-04-27,PSDB,SP,"Considerações sobre o Projeto de Lei nº 1052, de 2020, que altera a Lei nº 8.213, de 24 de julho de 1991, para permitir a contratação dos pais de menores com deficiência, assim como de seus responsáveis legais, quando não houver, no município da prestação dos serviços, pessoas com deficiência habilitadas para a admissão nos moldes do referido dispositivo legal.","…la ordem.) – Obrigada, Presidente. Colegas Senadores, eu quero muito agradecer ao Senador Vanderlan Cardoso pela sensibilidade em retirar de pauta o PL nº 1.052. Embora, Senador, eu saiba da sua boa intenção em oferecer oportunidades para os pais de pessoas com deficiência – a gente sabe das dificuldades deles –, isso não pode promover o desmonte da principal política de empregabilidade da pessoa com deficiência. Desde que a Lei de Cotas foi implementada e quando ela passou a ser fiscalizada – isso foi em 2001 –, você acredita que a gente tinha, Senador Vanderlan, 100 pessoas com deficiência com carteira assinada? Hoje, a gente tem mais de 500 mil pessoas com deficiência e carteira assinada. A gente entende, por exemplo, a dificuldade de uma pessoa que não tem deficiência em conseguir um bom lugar no mercado de trabalho. E aí a gente pode inferir o tamanho da dificuldade e a imensidão da dificuldade de uma pessoa com deficiência em conseguir ingressar no mercado de trabalho. Isso não é fácil! Você imagina a gente ter que avaliar a capacidade dessa pessoa para dizer se ela pode ou não entrar para a empresa. E aí a gente entra nessa questão do capacitismo, de que tanto a gente vem fa…",https://www25.senado.leg.br/web/atividade/pronunciamentos/-/p/texto/478535,,
Q01-482509,Q01,Previdência e pessoa com deficiência,Qual pronunciamento tratou do impacto da reforma da previdência sobre o Estatuto da Pessoa com Deficiência e a avaliação da deficiência?,482509,Paulo Paim,2021-08-19,PT,RS,"Pela Liderança sobre o Projeto de Lei (PL) n° 1605, de 2019, que ""Institui o Estatuto da Pessoa com Câncer; e dá outras providências"".","… meus cumprimentos ao autor, nobre Deputado Federal Eduardo Braide; e ao nosso querido amigo, o Relator Carlos Viana. Agradeço também ao Líder Paulo Rocha que permitiu que eu, Presidente, não só comentasse, mas como encaminhasse o voto da bancada. O Estatuto da Pessoa com Câncer tem o objetivo de assegurar e de promover condições de igualdade no acesso ao tratamento adequado, o exercício dos direitos e das liberdades fundamentais da pessoa com câncer, com vista, naturalmente, a garantir o respeito à dignidade, à cidadania e à inclusão social. O projeto segue a linha, como costumo dizer, de fazer o bem sem olhar a quem. Consequentemente, é um projeto humanitário. Prevê os direitos fundamentais do paciente com câncer, bem como os deveres da sociedade e do Estado relacionados ao nosso povo, à nossa gente com essa doença. Presidente, eu só faço uma consideração, não por não ter sido acatada a minha emenda... Está aí o Relator, que mais do que ninguém pode analisar emenda por emenda. Eu nem fiz emenda nesse sentido que vou comentar agora e termino. Entendo, todavia, que o nome mais adequado seria Política Nacional do Câncer, tipo PNC. E me lembro que a Senadora Mara Gabrilli, no Estatut…",https://www25.senado.leg.br/web/atividade/pronunciamentos/-/p/texto/482509,,
Q01-484304,Q01,Previdência e pessoa com deficiência,Qual pronunciamento tratou do impacto da reforma da previdência sobre o Estatuto da Pessoa com Deficiência e a avaliação da deficiência?,484304,ANA PAULA MARQUES,2021-10-15,,,Sessão Especial destinada a comemorar o Dia Nacional de Luta da Pessoa com Deficiência.,"A SRA. ANA PAULA MARQUES (Para discursar.) – Obrigada! Quero agradecer ao Senador Izalci pelo convite, à Mara Gabrilli pela luta pela pessoa com deficiência e a todos os que hoje lutam por esses direitos da pessoa com deficiência. Eu, há 18 anos, venho nessa luta. Por ser uma pessoa com deficiência, tenho essas dificuldades da falta de inclusão. A luta é grande e constante, como já falaram. E pessoas que têm alguém na família com deficiência ou alguém que é deficiente sabe muito bem quais são as dificuldades do dia a dia da pessoa com deficiência. E aquelas que estão aí lutando por esses direitos, tentando colocar leis, eu quero somente agradecer a elas por estarem lutando com a gente, por estarem reivindicando direitos tanto na área de trabalho, na sua inclusão, no transporte, tudo por que a gente vem brigando constantemente, no dia a dia. Uma pequena rampa, assim, para nós que temos uma deficiência, é difícil, porque fica a dificuldade de subir e ter de pedir ajuda por aquele ambiente não ter aquela rampa. A luta é constante. Não tem como não dizer isso. E somente agradecer. Para mim, o esporte me salvou, me deu mais forças para continuar essa luta, porque antes, aos 20 anos, eu …",https://www25.senado.leg.br/web/atividade/pronunciamentos/-/p/texto/484304,,
Q01-485877,Q01,Previdência e pessoa com deficiência,Qual pronunciamento tratou do impacto da reforma da previdência sobre o Estatuto da Pessoa com Deficiência e a avaliação da deficiência?,485877,Paulo Paim,2021-12-02,PT,RS,"Reflexão sobre o Dia Internacional da Pessoa com Deficiência, celebrado em 3 de dezembro. Destaque à importância do Senado Federal para a garantia dos direitos das pessoas com deficiência e proteção contra retrocessos. Registro da aprovação, na Câmara dos Deputados, do Projeto de Lei Complementar nº 454, de 2014, (PLS 250, de 2005, no Senado Federal), de autoria de S. Exa., que estabelece regras diferenciadas para a aposentadoria do servidor público com deficiência.","…SR. PAULO PAIM (Bloco Parlamentar da Resistência Democrática/PT - RS. Para discursar. Por videoconferência.) – Bom dia, Presidente Rodrigo Pacheco, Senadores e Senadoras. Amanhã, Presidente, 3 de dezembro, é celebrado no mundo o Dia Internacional da Pessoa com Deficiência. É um momento de reflexão sobre a construção de um mundo mais acessível, mais inclusivo, mais sustentável, com respeito às diferenças. O lema desse ano formulado pela ONU lembra a importância da liderança e da participação política da pessoa com deficiência – que tenhamos mais pessoas com deficiência participando ativamente nas disputas eleitorais, por exemplo. O título é ""Liderança e participação das pessoas com deficiência por um mundo pós-covid-19 inclusivo, acessível e sustentável"", mas, ao mesmo tempo, manda ter o cuidado com a quarta onda, que está aí. No Brasil, em vez de estarmos lutando por avanços e melhorias, estamos resistindo. E o Senado resiste à retirada de direitos, Presidente. Exemplo: ameaçaram tirar a política de cotas, não conseguiram; desrespeitar a Constituição Cidadã, com certeza também não. A convenção internacional e também o Estatuto da Pessoa com Deficiência estão aí; estamos conseguindo…",https://www25.senado.leg.br/web/atividade/pronunciamentos/-/p/texto/485877,,
