,codigoClasse,codigoGrupo,nomeGrupo,nomeClasse,statusClasse,dataHoraAtualizacao,dataCarga
0,1005,10,ARMAMENTO,ARMAS DE FOGO DE CALIBRE ATÉ 120MM,True,2021-10-16 09:17:13.045775,2026-08-08
1,1010,10,ARMAMENTO,ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATÉ 75MM,True,2021-10-16 09:17:13.045775,2026-08-08
2,1015,10,ARMAMENTO,ARMAS DE FOGO DE CALIBRE ACIMA DE 75MM ATÉ 125MM,True,2021-10-16 09:17:13.045775,2026-08-08
3,1020,10,ARMAMENTO,ARMAS DE FOGO DE CALIBRE ACIMA DE 125MM ATÉ 150MM,True,2021-10-16 09:17:13.045775,2026-08-08
4,1025,10,ARMAMENTO,ARMAS DE FOGO DE CALIBRE ACIMA DE 150MM ATÉ 200MM,True,2021-10-16 09:17:13.045775,2026-08-08
5,1030,10,ARMAMENTO,ARMAS DE FOGO DE CALIBRE ACIMA DE 200MM ATÉ 300MM,True,2021-10-16 09:17:13.045775,2026-08-08
6,1035,10,ARMAMENTO,ARMAS DE FOGO DE CALIBRE ACIMA DE 300MM,True,2021-10-16 09:17:13.045775,2026-08-08
7,1040,10,ARMAMENTO,ARMAMENTO E EQUIPAMENTOS DE GUERRA QUÍMICA,True,2021-10-16 09:17:13.045775,2026-08-08
8,1045,10,ARMAMENTO,LANÇADORES DE TORPEDOS E DE BOMBAS DE PROFUNDIDADE,True,2021-10-16 09:17:13.045775,2026-08-08
9,1055,10,ARMAMENTO,LANÇADORES DE FOGUETES E PIROTÉCNICOS,True,2021-10-16 09:17:13.045775,2026-08-08
10,1070,10,ARMAMENTO,REDES SUBMARINAS DE DEFESA DE PORTOS,True,2021-10-16 09:17:13.045775,2026-08-08
11,1075,10,ARMAMENTO,EQUIPAMENTOS DE DESMAGNETIZAÇÃO E DE VARREDURA DE MINAS,True,2021-10-16 09:17:13.045775,2026-08-08
