dmu,in1,in2,in3,in4,ou1,ou2,ou3
dmu1,250,60,50,30,200,100,90
dmu2,1500,400,150,125,600,250,60
dmu3,800,350,300,85,600,450,40
dmu4,500,150,200,75,500,360,60
dmu5,200,100,120,60,330,250,50
dmu6,600,100,50,35,180,75,80
dmu7,1500,500,90,40,500,200,100
dmu8,1000,360,300,90,750,500,65
dmu9,530,120,100,60,350,180,50
dmu10,300,45,80,50,440,230,80
dmu11,700,160,60,30,300,130,100
dmu12,500,200,50,20,200,80,85
dmu13,200,30,50,40,160,90,100
dmu14,100,50,20,15,125,50,80
dmu15,800,180,200,100,700,400,90
dmu16,1200,300,250,115,750,400,55
dmu17,250,100,20,25,180,70,100
dmu18,400,80,30,10,130,60,90
dmu19,1000,250,130,100,600,270,95
dmu20,300,75,60,45,225,100,40
