ID_COMPRA;NUMERO_UASG;NUMERO_COMPRA;ANO_COMPRA;OBJETO;CHAVE_COMPRA_PNCP;ID_ITEM;numero_item;descricao;descricao_detalhada;unidade_fornecimento;valor_estimado;quantidade_solicitada;orcamento_sigiloso;codigo_item_catalogo;tipo_item_catalogo
681935;70014;105;2026;"Aquisição de medicamentos ambulatoriais ";0594074000012110001722026;7521045;18;Dipirona Sódica;dosagem: 500 Dipirona Sódica 500 mg Nome comercial de referência: Novalgina. Laboratório fabricante de referência: Sanofi Aventis;Comprimido;0.91;100;N;267203;M
681935;70014;105;2026;"Aquisição de medicamentos ambulatoriais ";0594074000012110001722026;7521046;19;Dipirona Sódica;concentração: 1, forma farmacêutica: comprimido efervescente Dipirona Sódica 1000 mg Nome comercial de referência: Novalgina. Laboratório fabricante de referência: Sanofi Aventis;Comprimido;1.65;30;N;474749;M
681808;984305;51;2026;Registrar preços para futura e eventual contratação de empresa especializada em fornecimento de medicamentos para a Farmácia Básica, em atendimento às demandas da Secretaria Municipal de Saúde de Cataguases – MG.;1770249900026210000832026;7519285;57;Fenobarbital Sódico;"dosagem: 100 ";Comprimido;0.49;100000;N;267660;M
681675;987453;4;2026;"Registro de Preços visando a aquisição de medicamentos e sensor de monitoramento contínuo de glicose para atender às necessidades do Departamento de Saúde do Município, como: Unidades Básicas de Saúde, Hospital Municipal São Jorge, SAMU e PAM.  ";7624506700015810000372026;7517286;30;Fenobarbital Sódico;dosagem: 100, forma farmacêutica: solução injetável Considerar itens descritos no Anexo I (Termo de Referência) do Edital de Licitação. Para maiores informações consulte o Portal da Transparência através de pmbvista.pr.gov.br;Ampola;2.42;1000;N;300725;M
681831;90126;46;2026;Aquisição de Medicamento em Cumprimento de Determinação Judicial;4637450000019410054772026;7519498;4;Dipirona Sódica;"composição: associada à cafeína e diidroergotamina, concentração: 350 mg + 100 mg + 1 ";Comprimido;1.14;504;S;340419;M
682633;987777;30;2026;"Registro de preços para Contratação de empresa especializada no fornecimento de medicamentos para a aquisição e manutenção do atendimento aos usuários dos diversos serviços de saúde realizados pela Secretaria Municipal de Saúde. ";7617588400018710003092026;7533553;87;Prometazina Cloridrato;dosagem: 25 Prometazina Cloridrato 25 MG. Drágeas.;Drágea;0.12;80000;N;267768;M
682465;988841;61;2026;RP - Medicamentos;8848836600010010002542026;7531647;34;Dipirona Sódica;"dosagem: 500 ";Comprimido;0.12;1480000;N;267203;M
682822;458403;5;2026;Registro de preços visando a aquisição compartilhada de medicamentos para o atendimento das demandas do Consórcio Intermunicipal de Saúde do Sudoeste (CONSUD) e de seus 27 (vinte e sete) municípios consorciados.;0033367800019610000222026;7538027;74;Levomepromazina;Levomepromazina, Dosagem:100 MG Medicamentos compartilhados;Comprimido;1.25;241301;S;268129;M
684536;160482;73;2026;Aquisição de alimento animal (Ração canina) e suprimentos para realização de medidas profiláticas destinada ao 32° Pel PE;0039445200010310136682026;7566921;6;Vacina;"tipo: déctupla, composição: adenovírus (2), cinomose, coronavirose, parvovírus, outros componentes: parainfluenza, componentes adicionais: leptospira diversa, forma farmacêutica: suspensão injetável, aplicação*: uso veterinário ";Frasco-Ampola;76.74;10;N;439507;M
679983;926750;1;2026;"Aquisição de medicamentos essenciais para manutenção das atividades do SAMU Regional Norte Novo. ";1798938600010910000172026;7499344;8;Dipirona Sódica;dosagem: 500, apresentação: solução injetável DIPIRONA SÓDICA 500 MG/ML, apresentação solução injetável de uso endovenoso e intramuscular. Ampola com 2ml,  com lote, data de validade e dados de identificação. O medicamento deve possuir lote, data de fabricação, data de validade número do registr;Ampola;1.14;500;S;268252;M
680669;160192;359;2026;"Aquisição de Medicamentos de Uso veterinário. ";0039445200010310130502026;7498654;2;Dipirona Sódica;"concentração: 500, forma física: solução injetável, uso: uso veterinário ";Frasco;52.97;2;N;409123;M
680505;450522;293;2026;Registro de Preço para Eventual e Futura Aquisição de Medicamentos para o Atendimento na Atenção Básica, para atender as necessidades da Secretaria Municipal de Saúde de Ariquemes, por um período de 12 (doze) meses.;0410481600011610001832026;7496998;40;Prometazina Cloridrato;dosagem: 25 Prometazina Cloridrato Dosagem: 25 MG;Comprimido;0.37;48000;N;267768;M
683919;927502;332;2026;"Aquisição dos medicamentos Sacubitril Valsartana Sódica Hidratada 100mg, Fluoxetina 20mg/ml, Ácido Docosahexaenoico (DHA) 47mg, Brometo de Tiotrópio 2,5mcg, Micofenolato de Sódio 360mg, Salmeterol 25mcg + Propionato de Fluticasona 125mcg, Imunoterapia subcutânea para ácaros (extrato alergênico padronizado para imunoterapia alérgeno-específica (ácaros), solução para uso subcutâneo), Cloridrato de Metilfenidato 10mg, conforme solicitações médicas anexadas nos autos, via dispensa de licitação, com ";0073306200010210003112026;7558971;7;Vacina;composição 1: extrato alérgeno de ácaros, forma farmacêutica 1: injetável, tipo 1: padronizado IMUNOTERAPIA SUBCUTÂNEA PARA ÁCAROS - EXTRATO ALERGÊNCIO PADRONIZADO PARA IMUNOTERAPIA ALÉRGENO-ESPECÍFICA (ÁCAROS), SOLUÇÃO PARA USO SUBCUTÊNEO.;Frasco;428.75;12;N;483360;M
682822;458403;5;2026;Registro de preços visando a aquisição compartilhada de medicamentos para o atendimento das demandas do Consórcio Intermunicipal de Saúde do Sudoeste (CONSUD) e de seus 27 (vinte e sete) municípios consorciados.;0033367800019610000222026;7538223;270;Tramadol Cloridrato;Tramadol Cloridrato, Dosagem:50 MG/ML, Forma Farmacêutica:Solução Injetável Medicamentos compartilhados;Ampola;3.23;49401;S;292382;M
678901;90167;188;2026;Aquisição de Medicamentos Comprimidos (Folinato de Calcio, Captopril 25mg, Dipirona 500mg e Outros).;4637450000019410053542026;7472205;3;Dipirona Sódica;"composição: associada à adifenina e prometazina, concentração: 500mg + 10mg + 5mg ";Comprimido;1.78;2000;N;275475;M
678609;135017;3;2026;Registro de preços para aquisição futura de adubos, fitossanitários, alimentos para animais e materiais e medicamentos de uso veterinário.;0034800300011010004752026;7469648;33;Dipirona Sódica;concentração: 500, forma física: solução injetável, uso: uso veterinário Devido a inconsistências nos CATMATs, a descrição completa do item  encontra-se no Anexo I - Termo de Referência do Edital. Pedimos que seja observada atentamente, visando a formalização da Proposta mais vantajosa para a Administração.;Frasco;12.86;50;S;409123;M
678893;456546;100;2026;Medicamentos de Controle Especial (Port. 344/98);0829318500018110000242026;7472565;24;Tramadol Cloridrato;dosagem: 50, forma farmacêutica: liberação lenta TRAMADOL, CLORIDRATO 50 MG COMPRIMIDO;Cápsula;0.39;7000;S;309436;M
678609;135017;3;2026;Registro de preços para aquisição futura de adubos, fitossanitários, alimentos para animais e materiais e medicamentos de uso veterinário.;0034800300011010004752026;7469715;100;Vacina;tipo: inativada, outros componentes: c. pseudotuberculosis (ovis), c. perfringens (d), componentes adicionais: c. tetani, c.novyi (b), c. septicum e c. chauvoei, forma farmacêutica: suspensão injetável, aplicação*: uso veterinário Devido a inconsistências nos CATMATs, a descrição completa do item  encontra-se no Anexo I - Termo de Referência do Edital. Pedimos que seja observada atentamente, visando a formalização da Proposta mais vantajosa para a Administração.;Doses;4.53;300;S;449713;M
678747;160034;51;2026;Aquisição de insumos veterináriosaquisição de aquisição de material de consumo referentes às medidas anuais profiláticas para cães do exército e materiais médico-hospitalares para o 6º Batalhão de Polícia do Exército;0039445200010310127492026;7470915;1;Vacina;"tipo: déctupla, composição: adenovírus (2), cinomose, coronavirose, parvovírus, outros componentes: parainfluenza, componentes adicionais: leptospira diversa, forma farmacêutica: suspensão injetável, aplicação*: uso veterinário ";Doses;48.89;15;N;439507;M
