codigo_orgao,nome_orgao
ORG-001,Ministério do Desenvolvimento e Infraestrutura (MDI)
ORG-002,Secretaria Nacional de Inovação e Tecnologia (SNIT)
ORG-003,Agência Reguladora de Transportes Urbanos (ARTU)
ORG-004,Departamento Nacional de Obras Rurais (DNOR)
ORG-005,Instituto de Gestão Ambiental e Sustentabilidade (IGAS)
ORG-006,Secretaria de Estado de Educação e Esportes (SEEE)
ORG-007,Fundação de Apoio à Saúde Pública (FASP)
ORG-008,Empresa Pública de Logística Integrada (EPLI)
ORG-009,Superintendência de Habitação Popular (SUHAP)
ORG-010,Secretaria Municipal de Obras e Urbanismo (SMOU)
ORG-011,Companhia Metropolitana de Saneamento Básicos (CMSB)
ORG-012,Instituto de Modernização Administrativa (IMA)
ORG-013,Agência de Fomento ao Desenvolvimento Regional (AFDR)
ORG-014,Secretaria de Mobilidade e Trânsito (SMT)
ORG-015,Departamento de Estradas e Rodagem Regional (DERR)
ORG-016,Fundação Cultural e Científica (FCC)
ORG-017,Empresa Pública de Informática do Estado (EPIE)
ORG-018,Secretaria de Assistência e Inclusão Social (SAIS)
ORG-019,Hospital das Clínicas Regionais (HCR)
ORG-020,Autarquia de Segurança Alimentar e Nutricional (ASAN)
