codigo_licitacao,cnpj_empresa,e_vencedora,valor_proposta
LIC-2024-0001,13.389.083/0001-02,False,986587.43
LIC-2024-0001,12.236.231/0001-88,True,883969.24
LIC-2024-0002,20.163.287/0001-88,True,330300.41
LIC-2024-0002,12.236.231/0001-88,False,346430.02
LIC-2024-0003,39.117.182/0001-10,True,784011.08
LIC-2024-0003,89.638.346/0001-23,False,886783.49
LIC-2024-0004,89.638.346/0001-23,False,422063.64
LIC-2024-0004,12.411.824/0001-33,True,366842.5
LIC-2024-0004,93.406.088/0001-27,False,398447.05
LIC-2024-0004,29.973.763/0001-09,False,433338.54
LIC-2024-0004,10.433.218/0001-93,False,406329.19
LIC-2024-0005,09.169.985/0001-58,False,744837.08
LIC-2024-0005,27.648.350/0001-15,True,652060.26
LIC-2024-0006,87.347.143/0001-52,True,363471.07
LIC-2024-0006,34.874.016/0001-45,False,383464.88
LIC-2024-0007,69.957.773/0001-67,False,1305.47
LIC-2024-0007,36.629.946/0001-69,True,1105.11
LIC-2024-0007,81.219.136/0001-99,False,1241.35
LIC-2024-0007,40.196.556/0001-10,False,1249.62
LIC-2024-0008,89.638.346/0001-23,False,707572.12
LIC-2024-0008,27.648.350/0001-15,True,659233.21
LIC-2024-0009,80.184.514/0001-83,False,327113.07
LIC-2024-0009,81.219.136/0001-99,False,326496.98
LIC-2024-0009,09.805.009/0001-44,True,277614.54
LIC-2024-0009,39.117.182/0001-10,False,324859.38
LIC-2024-0010,80.184.514/0001-83,False,206130.64
LIC-2024-0010,34.874.016/0001-45,True,178433.72
LIC-2024-0010,09.169.985/0001-58,False,197204.62
LIC-2024-0011,46.688.937/0001-00,False,3689785.96
LIC-2024-0011,15.594.078/0001-59,False,3558313.91
LIC-2024-0011,89.638.346/0001-23,True,3471861.39
LIC-2024-0011,94.026.542/0001-87,False,3754943.93
LIC-2024-0012,39.117.182/0001-10,False,90961.72
LIC-2024-0012,48.951.343/0001-68,False,90929.47
LIC-2024-0012,59.826.204/0001-29,False,96952.14
LIC-2024-0012,53.462.475/0001-66,True,85300.09
LIC-2024-0013,93.406.088/0001-27,False,720625.89
LIC-2024-0013,53.462.475/0001-66,False,740533.78
LIC-2024-0013,81.219.136/0001-99,False,748528.38
LIC-2024-0013,89.638.346/0001-23,False,694766.25
LIC-2024-0013,88.496.965/0001-68,True,629890.48
LIC-2024-0014,59.514.846/0001-92,False,698210.93
LIC-2024-0014,95.931.034/0001-06,False,690487.42
LIC-2024-0014,09.169.985/0001-58,True,573505.16
LIC-2024-0014,34.874.016/0001-45,False,680680.06
LIC-2024-0014,02.563.421/0001-56,False,677948.34
LIC-2024-0015,46.688.937/0001-00,False,861880.51
LIC-2024-0015,48.951.343/0001-68,False,863612.39
LIC-2024-0015,06.474.687/0001-83,True,810790.98
LIC-2024-0015,13.953.767/0001-87,False,902174.55
LIC-2024-0016,31.586.923/0001-09,False,843219.72
LIC-2024-0016,60.366.909/0001-90,False,814602.54
LIC-2024-0016,48.281.489/0001-43,True,713400.6
LIC-2024-0016,27.648.350/0001-15,False,803143.12
LIC-2024-0017,75.433.036/0001-68,True,1436221.33
LIC-2024-0017,46.688.937/0001-00,False,1581418.46
LIC-2024-0017,02.563.421/0001-56,False,1518629.42
LIC-2024-0018,26.247.317/0001-10,True,572083.77
LIC-2024-0018,71.331.509/0001-65,False,658261.49
LIC-2024-0018,15.594.078/0001-59,False,629340.01
LIC-2024-0018,40.196.556/0001-10,False,677317.62
LIC-2024-0019,88.496.965/0001-68,False,178630.41
LIC-2024-0019,37.917.693/0001-91,False,185696.53
LIC-2024-0019,24.278.680/0001-78,True,168063.79
LIC-2024-0020,75.433.036/0001-68,False,197861.32
LIC-2024-0020,60.366.909/0001-90,False,200238.91
LIC-2024-0020,87.347.143/0001-52,True,191505.01
LIC-2024-0021,12.411.824/0001-33,False,614161.96
LIC-2024-0021,02.563.421/0001-56,True,555421.71
LIC-2024-0021,13.953.767/0001-87,False,647356.4
LIC-2024-0021,71.331.509/0001-65,False,649695.32
LIC-2024-0022,95.931.034/0001-06,True,252874.46
LIC-2024-0022,86.872.774/0001-28,False,300039.69
LIC-2024-0023,95.931.034/0001-06,False,238835.31
LIC-2024-0023,31.586.923/0001-09,False,236711.79
LIC-2024-0023,71.331.509/0001-65,False,257531.0
LIC-2024-0023,29.973.763/0001-09,True,222839.54
LIC-2024-0024,71.331.509/0001-65,True,298241.25
LIC-2024-0024,24.278.680/0001-78,False,322112.01
LIC-2024-0024,91.183.842/0001-81,False,324068.06
LIC-2024-0024,88.095.701/0001-00,False,339657.82
LIC-2024-0024,27.648.350/0001-15,False,311777.26
LIC-2024-0025,15.594.078/0001-59,False,371072.48
LIC-2024-0025,53.462.475/0001-66,True,312790.89
LIC-2024-0026,88.095.701/0001-00,True,898336.06
LIC-2024-0026,75.433.036/0001-68,False,981930.03
LIC-2024-0026,12.411.824/0001-33,False,978888.67
LIC-2024-0027,12.411.824/0001-33,True,602640.49
LIC-2024-0027,45.868.501/0001-22,False,733210.69
LIC-2024-0028,75.255.341/0001-07,True,1293506.27
LIC-2024-0028,60.366.909/0001-90,False,1477787.98
LIC-2024-0029,53.462.475/0001-66,False,466078.91
LIC-2024-0029,15.594.078/0001-59,True,438307.57
LIC-2024-0029,80.184.514/0001-83,False,513937.0
LIC-2024-0030,67.010.651/0001-33,False,114295.32
LIC-2024-0030,54.278.498/0001-88,False,116067.05
LIC-2024-0030,17.278.895/0001-23,False,124456.81
LIC-2024-0030,87.347.143/0001-52,True,107406.78
LIC-2024-0030,45.868.501/0001-22,False,119131.89
LIC-2024-0031,15.594.078/0001-59,False,118115.99
LIC-2024-0031,93.406.088/0001-27,True,111520.45
LIC-2024-0031,24.278.680/0001-78,False,128477.04
LIC-2024-0031,31.586.923/0001-09,False,118267.82
LIC-2024-0032,20.163.287/0001-88,False,2537.84
LIC-2024-0032,71.331.509/0001-65,True,2456.98
LIC-2024-0033,93.406.088/0001-27,False,658288.18
LIC-2024-0033,59.514.846/0001-92,False,699994.08
LIC-2024-0033,94.026.542/0001-87,True,622837.46
LIC-2024-0034,10.310.518/0001-85,False,159362.32
LIC-2024-0034,39.117.182/0001-10,False,162072.21
LIC-2024-0034,37.917.693/0001-91,True,149558.32
LIC-2024-0034,86.872.774/0001-28,False,160419.9
LIC-2024-0035,60.366.909/0001-90,True,169959.79
LIC-2024-0035,95.931.034/0001-06,False,190145.35
LIC-2024-0035,10.433.218/0001-93,False,191219.51
LIC-2024-0035,34.874.016/0001-45,False,205007.22
LIC-2024-0036,71.331.509/0001-65,False,2067.89
LIC-2024-0036,81.219.136/0001-99,True,1984.44
LIC-2024-0037,36.629.946/0001-69,False,643371.58
LIC-2024-0037,48.951.343/0001-68,False,589723.39
LIC-2024-0037,02.563.421/0001-56,True,571382.41
LIC-2024-0037,10.433.218/0001-93,False,600145.04
LIC-2024-0038,12.236.231/0001-88,True,1409023.2
LIC-2024-0038,45.868.501/0001-22,False,1614988.82
LIC-2024-0039,39.117.182/0001-10,False,190066.09
LIC-2024-0039,20.163.287/0001-88,False,203565.06
LIC-2024-0039,69.957.773/0001-67,False,185950.43
LIC-2024-0039,10.310.518/0001-85,True,177574.5
LIC-2024-0040,94.026.542/0001-87,False,678693.55
LIC-2024-0040,10.433.218/0001-93,True,589621.28
LIC-2024-0040,06.474.687/0001-83,False,686026.02
LIC-2024-0040,46.688.937/0001-00,False,672676.93
LIC-2024-0041,45.868.501/0001-22,False,1724215.61
LIC-2024-0041,10.433.218/0001-93,True,1587516.27
LIC-2024-0041,13.953.767/0001-87,False,1730884.32
LIC-2024-0041,95.931.034/0001-06,False,1652416.0
LIC-2024-0041,17.278.895/0001-23,False,1648686.31
LIC-2024-0042,81.219.136/0001-99,False,442247.77
LIC-2024-0042,94.026.542/0001-87,True,386073.44
LIC-2024-0042,09.805.009/0001-44,False,437350.4
LIC-2024-0042,39.117.182/0001-10,False,451753.37
LIC-2024-0043,71.331.509/0001-65,False,3290382.95
LIC-2024-0043,80.184.514/0001-83,True,3178348.71
LIC-2024-0043,48.281.489/0001-43,False,3402458.82
LIC-2024-0044,37.917.693/0001-91,True,782130.14
LIC-2024-0044,12.236.231/0001-88,False,835630.44
LIC-2024-0044,71.331.509/0001-65,False,875565.66
LIC-2024-0044,29.973.763/0001-09,False,850500.87
LIC-2024-0044,80.184.514/0001-83,False,916961.27
LIC-2024-0045,26.247.317/0001-10,False,52121.35
LIC-2024-0045,89.638.346/0001-23,True,46497.83
LIC-2024-0045,13.389.083/0001-02,False,50296.55
LIC-2024-0045,37.917.693/0001-91,False,54200.22
LIC-2024-0046,48.951.343/0001-68,False,565683.08
LIC-2024-0046,31.586.923/0001-09,False,518791.78
LIC-2024-0046,53.462.475/0001-66,True,505828.01
LIC-2024-0046,20.163.287/0001-88,False,522390.24
LIC-2024-0047,94.026.542/0001-87,False,3179.13
LIC-2024-0047,27.648.350/0001-15,False,3043.56
LIC-2024-0047,59.514.846/0001-92,True,2817.76
LIC-2024-0047,54.278.498/0001-88,False,3108.18
LIC-2024-0048,40.196.556/0001-10,False,646504.55
LIC-2024-0048,88.095.701/0001-00,False,712858.2
LIC-2024-0048,10.310.518/0001-85,False,685054.88
LIC-2024-0048,94.026.542/0001-87,True,625198.95
LIC-2024-0048,86.872.774/0001-28,False,699670.19
LIC-2024-0049,81.219.136/0001-99,False,2483772.49
LIC-2024-0049,54.278.498/0001-88,False,2409261.23
LIC-2024-0049,95.931.034/0001-06,True,2169196.84
LIC-2024-0050,87.347.143/0001-52,False,333953.35
LIC-2024-0050,26.247.317/0001-10,True,290844.98
LIC-2024-0051,45.868.501/0001-22,False,570159.25
LIC-2024-0051,88.496.965/0001-68,False,583444.32
LIC-2024-0051,88.095.701/0001-00,False,566518.0
LIC-2024-0051,91.183.842/0001-81,True,494944.12
LIC-2024-0052,26.247.317/0001-10,True,459911.41
LIC-2024-0052,67.010.651/0001-33,False,518684.19
LIC-2024-0053,34.874.016/0001-45,False,62078.74
LIC-2024-0053,12.411.824/0001-33,False,63131.56
LIC-2024-0053,20.163.287/0001-88,False,61712.53
LIC-2024-0053,39.117.182/0001-10,True,54898.65
LIC-2024-0054,31.586.923/0001-09,False,104893.89
LIC-2024-0054,37.917.693/0001-91,False,114798.14
LIC-2024-0054,69.957.773/0001-67,True,96349.14
LIC-2024-0054,36.629.946/0001-69,False,107397.39
LIC-2024-0055,01.226.916/0001-27,True,1129167.89
LIC-2024-0055,13.389.083/0001-02,False,1219764.44
LIC-2024-0055,94.026.542/0001-87,False,1239716.6
LIC-2024-0056,91.183.842/0001-81,False,553791.41
LIC-2024-0056,69.957.773/0001-67,False,539186.41
LIC-2024-0056,40.196.556/0001-10,False,563221.99
LIC-2024-0056,88.095.701/0001-00,True,477467.22
LIC-2024-0056,86.872.774/0001-28,False,568757.73
LIC-2024-0057,46.688.937/0001-00,True,71194.27
LIC-2024-0057,54.278.498/0001-88,False,85315.6
LIC-2024-0058,15.594.078/0001-59,False,198473.05
LIC-2024-0058,45.868.501/0001-22,True,175508.43
LIC-2024-0058,71.331.509/0001-65,False,202249.08
LIC-2024-0058,13.953.767/0001-87,False,194302.39
