ano,total,previstas,faltas,aplicaveis
2000,2916,1944,0,972
2001,2916,1944,0,972
2002,2916,1944,0,972
2003,2916,1944,0,972
2004,2916,972,0,1944
2005,2916,972,0,1944
2006,2916,972,0,1944
2007,2916,972,0,1944
2008,2916,972,0,1944
2009,2916,972,0,1944
2010,2916,972,0,1944
2011,2916,972,0,1944
2012,2916,972,0,1944
2013,2916,972,0,1944
2014,2916,972,0,1944
2015,2916,972,0,1944
2016,2916,972,0,1944
2017,2916,972,0,1944
2018,2916,972,0,1944
2019,2916,972,0,1944
2020,2916,972,0,1944
2021,2916,972,0,1944
2022,2916,972,0,1944
2023,2916,972,0,1944
2024,2916,972,0,1944
2025,2916,972,0,1944
