coluna,tipo,nulos,percentual_nulos,valores_unicos
PaisAutor,str,15632,99.38,6
OrgaoAutor,str,14918,94.84,558
Apartes.Aparteante,object,14861,94.48,350
CargoAutor,str,14825,94.25,459
CodigoParlamentar,str,2074,13.19,233
Partido,str,2074,13.19,32
UF,str,2074,13.19,27
Publicacoes.Publicacao,object,734,4.67,13651
Resumo,str,57,0.36,10726
Indexacao,str,35,0.22,10812
Casa,str,0,0.0,2
CodigoPronunciamento,str,0,0.0,15729
Data,datetime64[us],0,0.0,604
FuncaoAutor,str,0,0.0,3
NomeAutor,str,0,0.0,1794
TextoDiscursoIntegral,str,0,0.0,15017
TextoIntegral,str,0,0.0,15729
TextoIntegralTxt,str,0,0.0,15729
TipoAutor,str,0,0.0,3
TipoUsoPalavra.Codigo,str,0,0.0,22
TipoUsoPalavra.Descricao,str,0,0.0,22
TipoUsoPalavra.IndicadorAtivo,str,0,0.0,2
TipoUsoPalavra.Sigla,str,0,0.0,22
UrlTextoBinario,str,0,0.0,15729
__janela_fim,str,0,0.0,45
__janela_inicio,str,0,0.0,45
id,str,0,0.0,15729
msg,str,0,0.0,2
numero_palavras,int64,0,0.0,2732
ok,bool,0,0.0,2
status,int64,0,0.0,2
tem_texto,bool,0,0.0,2
