mes,pronunciamentos,textos_disponiveis
2019-02-01,274,274
2019-03-01,362,362
2019-04-01,287,287
2019-05-01,388,388
2019-06-01,274,273
2019-07-01,300,300
2019-08-01,427,427
2019-09-01,375,375
2019-10-01,388,388
2019-11-01,304,295
2019-12-01,307,305
2020-02-01,166,166
2020-03-01,151,142
2020-04-01,292,166
2020-05-01,131,45
2020-06-01,179,115
2020-07-01,126,62
2020-08-01,90,39
2020-09-01,95,64
2020-10-01,78,60
2020-11-01,46,26
2020-12-01,164,137
2021-02-01,174,159
2021-03-01,458,424
2021-04-01,327,293
2021-05-01,391,366
2021-06-01,274,240
2021-07-01,255,240
2021-08-01,792,772
2021-09-01,949,947
2021-10-01,619,619
2021-11-01,667,667
2021-12-01,597,597
2022-02-01,512,512
2022-03-01,617,617
2022-04-01,497,497
2022-05-01,753,753
2022-06-01,658,657
2022-07-01,255,255
2022-08-01,412,412
2022-09-01,104,104
2022-10-01,230,230
2022-11-01,244,244
2022-12-01,706,704
2023-01-01,34,34
