item_id,documento_originalmente_rotulado,rank_TF-IDF,rank_OpenAI,rank_Híbrido RRF
Q01-451123,0,183,7,15
Q01-451159,0,1,47,6
Q01-451285,1,3,55,7
Q01-451757,0,6,2,1
Q01-457463,0,252,8,18
Q01-464061,0,23,9,5
Q01-478535,0,18,11,4
Q01-482509,0,10,770,37
Q01-484304,0,9,653,33
Q01-485877,0,2,26,3
Q01-486118,0,81,3,9
Q01-486128,0,95,10,13
Q01-488984,0,5,61,8
Q01-489577,0,4,899,28
Q01-489683,0,7,2857,41
Q01-492234,0,8,4,2
Q01-493132,0,104,1,10
Q01-493134,0,1764,6,36
Q01-493300,0,1170,5,32
Q02-453880,1,1,262,21
Q02-455461,0,3,36,7
Q02-455473,0,6,113,16
Q02-456230,0,10,17,4
Q02-456624,0,87,9,15
Q02-456647,0,9,433,45
Q02-456729,0,8,1,2
Q02-457054,0,760,8,50
Q02-457844,0,65,2,9
Q02-458098,0,73,6,13
Q02-461700,0,2,331,27
Q02-469331,0,11,41,10
Q02-469349,0,5,423,36
Q02-471748,0,30,10,8
Q02-483899,0,7,23,5
Q02-485566,0,16,13,6
Q02-489288,0,13,5,3
Q02-489616,0,296,3,28
Q02-490906,0,4,4,1
Q02-493223,0,95,7,14
Q03-451426,0,2416,6,44
Q03-451492,1,53,10,9
Q03-451843,0,3,280,29
Q03-451861,0,955,2,39
Q03-456474,0,23,4,1
Q03-462062,0,10,52,8
Q03-462066,0,20,24,6
Q03-472904,0,1,38,3
Q03-478776,0,117,5,15
Q03-482398,0,9,29,4
Q03-484251,0,176,7,28
Q03-484797,0,8,73,11
Q03-487984,0,14,12,2
Q03-487986,0,34,15,7
Q03-488656,0,4,44,5
Q03-488657,0,922,9,45
Q03-488658,0,1202,3,41
Q03-488703,0,7,111,17
Q03-488897,0,6,220,31
Q03-489165,0,2,214,22
Q03-492049,0,410,1,32
Q03-492149,0,5,109,14
Q03-494390,0,33,27,10
Q03-494398,0,1935,8,46
Q04-459680,0,202,9,29
Q04-460311,0,104,2,11
Q04-461387,0,19,41,9
Q04-473383,0,7,306,35
Q04-473411,0,4,29,3
Q04-473414,0,9,26,4
Q04-474301,0,32,11,5
Q04-474307,0,23,22,6
Q04-474318,0,39,20,8
Q04-474324,0,92,10,15
Q04-478439,0,229,7,27
Q04-479156,0,491,1,31
Q04-482924,0,13,8,2
Q04-482928,0,8,192,25
Q04-482940,0,10,3,1
Q04-484635,0,3,112,12
Q04-486356,0,2,326,24
Q04-488977,0,1,340,23
Q04-489605,0,397,6,38
Q04-491834,0,5,839,46
Q04-491854,0,6,890,50
Q04-493989,0,401,5,37
Q04-493990,0,88,4,10
Q04-493993,0,29,17,7
Q05-483674,0,52,10,13
Q05-483891,0,3429,1,52
Q05-484724,0,2,53,8
Q05-486415,0,4,5,1
Q05-488341,0,10,89,22
Q05-488425,0,8,525,55
Q05-488579,0,9,23,7
Q05-488596,0,98,7,21
Q05-488599,0,25,21,9
Q05-489041,0,186,2,26
Q05-489071,0,3,1084,51
Q05-489615,0,331,8,47
Q05-489905,0,6,97,20
Q05-490768,0,21,6,6
Q05-490775,0,5,12,2
Q05-491449,0,12,9,4
Q05-491748,0,1,24,5
Q05-491768,0,7,352,45
Q05-491791,0,14,4,3
Q05-491830,0,71,3,10
Q06-450944,1,1,34,5
Q06-453095,0,458,2,21
Q06-453096,0,387,7,28
Q06-456624,0,21,26,6
Q06-457582,0,9,15,3
Q06-459713,0,8,261,22
Q06-463621,0,418,8,30
Q06-469335,0,29,35,10
Q06-477785,0,3,1,1
Q06-480689,0,411,6,27
Q06-481745,0,12,4,2
Q06-483070,0,4,155,15
Q06-483467,0,2,27,4
Q06-483473,0,6,234,20
Q06-485789,0,5,1182,34
Q06-485790,0,10,937,42
Q06-488560,0,7,338,25
Q06-490002,0,559,3,24
Q06-490079,0,22,40,8
Q06-491050,0,37,25,9
Q06-491621,0,59,9,7
Q06-491689,0,10512,5,40
Q06-491696,0,94,10,13
Q07-464293,0,12,5,4
Q07-465446,0,5,29,8
Q07-467856,0,36,10,10
Q07-468065,1,117,2,14
Q07-468945,0,6,84,13
Q07-475652,0,10,5128,35
Q07-481180,0,15,1,2
Q07-482357,0,930,7,27
Q07-482670,0,8,63,12
Q07-483133,0,115,9,15
Q07-483272,0,7,12,5
Q07-483273,0,3,20,6
Q07-483274,0,26,6,7
Q07-489975,0,4,31,9
Q07-490012,0,2,308,16
Q07-493378,0,1075,4,25
Q07-493928,0,14,3,3
Q07-494496,0,1,8,1
Q07-494554,0,9,307,21
Q08-460304,1,2,5,1
Q08-481510,0,9,31,18
Q08-481513,0,8,1,2
Q08-481519,0,3,13,5
Q08-481521,0,6,40,19
Q08-481525,0,10,21,12
Q08-481529,0,4,8,4
Q08-481535,0,16,10,9
Q08-481541,0,1,29,8
Q08-481543,0,34,2,11
Q08-481544,0,21,4,7
Q08-481548,0,18,6,6
Q08-481549,0,45,7,23
Q08-481550,0,25,9,14
Q08-481551,0,5,26,10
Q08-481559,0,7,3,3
Q09-453341,0,6275,6,40
Q09-453412,0,203,8,11
Q09-454745,0,80,1,5
Q09-459696,0,9,1438,41
Q09-460197,0,44,43,8
Q09-468071,0,19,99,9
Q09-476778,0,52,15,6
Q09-477756,0,1,2,1
Q09-477770,0,137,14,10
Q09-477782,0,4957,10,47
Q09-477791,0,134,7,7
Q09-477798,1,13,4,2
Q09-478113,0,39,3,3
Q09-479461,0,10,206,14
Q09-479862,0,8,709,30
Q09-482832,0,7,1875,37
Q09-484702,0,5,448,18
Q09-485415,0,3,922,20
Q09-485416,0,2,1804,21
Q09-489111,0,464,5,19
