,tipo,preenchidos,ausentes,unicos,ausentes_pct
PaisAutor,object,97,15632,6,99.38
OrgaoAutor,object,811,14918,558,94.84
Apartes.Aparteante,object,868,14861,350,94.48
CargoAutor,object,904,14825,459,94.25
UF,object,13655,2074,27,13.19
Partido,object,13655,2074,32,13.19
CodigoParlamentar,object,13655,2074,233,13.19
Publicacoes.Publicacao,object,14995,734,13651,4.67
Resumo,object,15672,57,10726,0.36
Indexacao,object,15694,35,10812,0.22
Casa,object,15729,0,2,0.0
TipoUsoPalavra.IndicadorAtivo,object,15729,0,2,0.0
ok,bool,15729,0,2,0.0
status,int64,15729,0,2,0.0
msg,object,15729,0,2,0.0
TipoAutor,object,15729,0,3,0.0
FuncaoAutor,object,15729,0,3,0.0
TipoUsoPalavra.Codigo,object,15729,0,22,0.0
TipoUsoPalavra.Sigla,object,15729,0,22,0.0
TipoUsoPalavra.Descricao,object,15729,0,22,0.0
__janela_inicio,object,15729,0,45,0.0
__janela_fim,object,15729,0,45,0.0
Data,object,15729,0,604,0.0
NomeAutor,object,15729,0,1794,0.0
TextoDiscursoIntegral,object,15729,0,15017,0.0
id,object,15729,0,15729,0.0
CodigoPronunciamento,object,15729,0,15729,0.0
TextoIntegral,object,15729,0,15729,0.0
TextoIntegralTxt,object,15729,0,15729,0.0
UrlTextoBinario,object,15729,0,15729,0.0
